BGM|BRU,|BRU|IAD|BGM|
BGM|OUA,|OUA|BRU|IAD|BGM|
BGM|JED,|JED|FRA|IAD|BGM|
BGM|CPH,|CPH|YYZ|IAD|BGM|
BGM|YYZ,|YYZ|IAD|BGM|
BGM|DEN,|DEN|IAD|BGM|
BGM|YUL,|YUL|IAD|BGM|
BGM|NBO,|NBO|ZRH|IAD|BGM|
BGM|ICN,|ICN|JFK|IAD|BGM|
BGM|NRT,|NRT|IAD|BGM|
BGM|YHZ,|YHZ|LGA|IAD|BGM|
BGM|YOW,|YOW|IAD|BGM|
BGM|BJM,|BJM|BRU|IAD|BGM|
BGM|COO,|COO|BRU|IAD|BGM|
BGM|DKR,|DKR|IAD|BGM|
BGM|DLA,|DLA|BRU|IAD|BGM|
BGM|KGL,|KGL|BRU|IAD|BGM|
BGM|LAD,|LAD|BRU|IAD|BGM|
BGM|ABJ,|ABJ|BRU|IAD|BGM|
BGM|AMS,|AMS|IAD|BGM|
BGM|OSL,|OSL|EWR|IAD|BGM|
BGM|VNO,|VNO|CPH|YYZ|IAD|BGM|
BGM|WAW,|WAW|YYZ|IAD|BGM|
BGM|YYC,|YYC|ORD|IAD|BGM|
BGM|ATL,|ATL|IAD|BGM|
BGM|MSY,|MSY|IAD|BGM|
BGM|YEG,|YEG|ORD|IAD|BGM|
BGM|YMM,|YMM|YYZ|IAD|BGM|
BGM|YQR,|YQR|ORD|IAD|BGM|
BGM|YVR,|YVR|ORD|IAD|BGM|
BGM|YWG,|YWG|YYZ|IAD|BGM|
BGM|YXE,|YXE|ORD|IAD|BGM|
BGM|CKY,|CKY|DKR|IAD|BGM|
BGM|FIH,|FIH|DLA|BRU|IAD|BGM|
BGM|SCL,|SCL|YYZ|IAD|BGM|
BGM|LCA,|LCA|FRA|IAD|BGM|
BGM|NAP,|NAP|FRA|IAD|BGM|
BGM|VLC,|VLC|FRA|IAD|BGM|
BGM|BKK,|BKK|CGO|PEK|IAD|BGM|
BGM|ADD,|ADD|JED|FRA|IAD|BGM|
BGM|FRA,|FRA|IAD|BGM|
BGM|IST,|IST|IAD|BGM|
BGM|EBB,|EBB|KGL|BRU|IAD|BGM|
BGM|YLW,|YLW|YYC|ORD|IAD|BGM|
BGM|YYT,|YYT|YHZ|LGA|IAD|BGM|
BGM|GUA,|GUA|IAD|BGM|
BGM|EWR,|EWR|IAD|BGM|
BGM|IAD,|IAD|BGM|
BGM|IAH,|IAH|IAD|BGM|
BGM|ORD,|ORD|IAD|BGM|
BGM|SOF,|SOF|MUC|IAD|BGM|
BGM|YQB,|YQB|YUL|IAD|BGM|
BGM|YXU,|YXU|YYZ|IAD|BGM|
BGM|EZE,|EZE|GRU|IAD|BGM|
BGM|YYJ,|YYJ|YVR|ORD|IAD|BGM|
BGM|YYY,|YYY|YUL|IAD|BGM|
BGM|YQQ,|YQQ|YYC|ORD|IAD|BGM|
BGM|YYR,|YYR|YWK|YZV|YUL|IAD|BGM|
BGM|LHR,|LHR|IAD|BGM|
BGM|SFO,|SFO|IAD|BGM|
BGM|YQU,|YQU|YEG|ORD|IAD|BGM|
BGM|YZF,|YZF|YEG|ORD|IAD|BGM|
BGM|YGR,|YGR|YGP|YQB|YUL|IAD|BGM|
BGM|YGP,|YGP|YQB|YUL|IAD|BGM|
BGM|BOS,|BOS|IAD|BGM|
BGM|YDF,|YDF|YHZ|LGA|IAD|BGM|
BGM|YFC,|YFC|YUL|IAD|BGM|
BGM|YQM,|YQM|EWR|IAD|BGM|
BGM|YQX,|YQX|YHZ|LGA|IAD|BGM|
BGM|YQY,|YQY|YHZ|LGA|IAD|BGM|
BGM|YSJ,|YSJ|YUL|IAD|BGM|
BGM|YYG,|YYG|YHZ|LGA|IAD|BGM|
BGM|LAX,|LAX|IAD|BGM|
BGM|DCA,|DCA|EWR|IAD|BGM|
BGM|LGA,|LGA|IAD|BGM|
BGM|YZV,|YZV|YUL|IAD|BGM|
BGM|YWL,|YWL|YVR|ORD|IAD|BGM|
BGM|AZS,|AZS|YYZ|IAD|BGM|
BGM|BDL,|BDL|IAD|BGM|
BGM|CCC,|CCC|YYZ|IAD|BGM|
BGM|CDG,|CDG|IAD|BGM|
BGM|CUN,|CUN|IAD|BGM|
BGM|CZM,|CZM|IAH|IAD|BGM|
BGM|FDF,|FDF|YUL|IAD|BGM|
BGM|FLL,|FLL|IAD|BGM|
BGM|GVA,|GVA|IAD|BGM|
BGM|HOG,|HOG|YYZ|IAD|BGM|
BGM|LAS,|LAS|IAD|BGM|
BGM|MBJ,|MBJ|IAD|BGM|
BGM|MCO,|MCO|IAD|BGM|
BGM|MUC,|MUC|IAD|BGM|
BGM|PAP,|PAP|YUL|IAD|BGM|
BGM|PTP,|PTP|YUL|IAD|BGM|
BGM|PUJ,|PUJ|IAD|BGM|
BGM|SNU,|SNU|YYZ|IAD|BGM|
BGM|VRA,|VRA|YYZ|IAD|BGM|
BGM|YBC,|YBC|YUL|IAD|BGM|
BGM|YBG,|YBG|YUL|IAD|BGM|
BGM|YTZ,|YTZ|YUL|IAD|BGM|
BGM|YUY,|YUY|YUL|IAD|BGM|
BGM|YVO,|YVO|YUL|IAD|BGM|
BGM|ZBF,|ZBF|YUL|IAD|BGM|
BGM|ZRH,|ZRH|IAD|BGM|
BGM|ZSA,|ZSA|YUL|IAD|BGM|
BGM|AKL,|AKL|LAX|IAD|BGM|
BGM|HKG,|HKG|PEK|IAD|BGM|
BGM|HND,|HND|YVR|ORD|IAD|BGM|
BGM|HNL,|HNL|IAD|BGM|
BGM|MEX,|MEX|IAD|BGM|
BGM|OGG,|OGG|DEN|IAD|BGM|
BGM|PDX,|PDX|IAD|BGM|
BGM|PEK,|PEK|IAD|BGM|
BGM|PVG,|PVG|YYZ|IAD|BGM|
BGM|PVR,|PVR|IAH|IAD|BGM|
BGM|SEA,|SEA|IAD|BGM|
BGM|SYD,|SYD|LAX|IAD|BGM|
BGM|YBL,|YBL|YVR|ORD|IAD|BGM|
BGM|YCD,|YCD|YVR|ORD|IAD|BGM|
BGM|YCG,|YCG|YYC|ORD|IAD|BGM|
BGM|YKA,|YKA|YYC|ORD|IAD|BGM|
BGM|YPR,|YPR|YVR|ORD|IAD|BGM|
BGM|YQZ,|YQZ|YVR|ORD|IAD|BGM|
BGM|YXC,|YXC|YYC|ORD|IAD|BGM|
BGM|YXJ,|YXJ|YYC|ORD|IAD|BGM|
BGM|YXS,|YXS|YYC|ORD|IAD|BGM|
BGM|YXT,|YXT|YVR|ORD|IAD|BGM|
BGM|YXY,|YXY|YVR|ORD|IAD|BGM|
BGM|YYD,|YYD|YVR|ORD|IAD|BGM|
BGM|YYF,|YYF|YVR|ORD|IAD|BGM|
BGM|YZP,|YZP|YVR|ORD|IAD|BGM|
BGM|YQT,|YQT|YYZ|IAD|BGM|
BGM|SJD,|SJD|IAH|IAD|BGM|
BGM|YQF,|YQF|YYC|ORD|IAD|BGM|
BGM|YQL,|YQL|YYC|ORD|IAD|BGM|
BGM|YXH,|YXH|YYC|ORD|IAD|BGM|
BGM|YWK,|YWK|YZV|YUL|IAD|BGM|
BGM|ANU,|ANU|EWR|IAD|BGM|
BGM|AUA,|AUA|IAD|BGM|
BGM|AUH,|AUH|FRA|IAD|BGM|
BGM|BCN,|BCN|EWR|IAD|BGM|
BGM|BDA,|BDA|EWR|IAD|BGM|
BGM|BGI,|BGI|YYZ|IAD|BGM|
BGM|BNA,|BNA|IAD|BGM|
BGM|BOG,|BOG|IAD|BGM|
BGM|BWI,|BWI|ORF|IAD|BGM|
BGM|CLE,|CLE|IAD|BGM|
BGM|CLT,|CLT|IAD|BGM|
BGM|CMH,|CMH|IAD|BGM|
BGM|CVG,|CVG|IAD|BGM|
BGM|DFW,|DFW|IAD|BGM|
BGM|DTW,|DTW|IAD|BGM|
BGM|DUB,|DUB|IAD|BGM|
BGM|FCO,|FCO|IAD|BGM|
BGM|GCM,|GCM|IAD|BGM|
BGM|GGT,|GGT|FLL|IAD|BGM|
BGM|GND,|GND|YYZ|IAD|BGM|
BGM|GRU,|GRU|IAD|BGM|
BGM|HAV,|HAV|YYZ|IAD|BGM|
BGM|IND,|IND|IAD|BGM|
BGM|JFK,|JFK|IAD|BGM|
BGM|KIN,|KIN|YYZ|IAD|BGM|
BGM|LIM,|LIM|MIA|IAD|BGM|
BGM|LIR,|LIR|EWR|IAD|BGM|
BGM|MCI,|MCI|IAD|BGM|
BGM|MDT,|MDT|IAD|BGM|
BGM|MIA,|MIA|IAD|BGM|
BGM|MKE,|MKE|CLE|IAD|BGM|
BGM|MSP,|MSP|IAD|BGM|
BGM|NAS,|NAS|ATL|IAD|BGM|
BGM|PHL,|PHL|IAD|BGM|
BGM|PHX,|PHX|IAD|BGM|
BGM|PIT,|PIT|IAD|BGM|
BGM|PLS,|PLS|EWR|IAD|BGM|
BGM|POP,|POP|EWR|IAD|BGM|
BGM|RDU,|RDU|IAD|BGM|
BGM|ROC,|ROC|IAD|BGM|
BGM|RSW,|RSW|MCO|IAD|BGM|
BGM|SAN,|SAN|IAD|BGM|
BGM|SJO,|SJO|IAD|BGM|
BGM|STL,|STL|IAD|BGM|
BGM|SYR,|SYR|IAD|BGM|
BGM|TLV,|TLV|EWR|IAD|BGM|
BGM|TPA,|TPA|IAD|BGM|
BGM|UVF,|UVF|EWR|IAD|BGM|
BGM|VIE,|VIE|IAD|BGM|
BGM|YAM,|YAM|YYZ|IAD|BGM|
BGM|YGK,|YGK|YYZ|IAD|BGM|
BGM|YQG,|YQG|YYZ|IAD|BGM|
BGM|YSB,|YSB|YYZ|IAD|BGM|
BGM|YTS,|YTS|YYZ|IAD|BGM|
BGM|YYB,|YYB|YYZ|IAD|BGM|
BGM|YZR,|YZR|YYZ|IAD|BGM|
BGM|CAN,|CAN|PEK|IAD|BGM|
BGM|URC,|URC|TSE|FRA|IAD|BGM|
BGM|CTU,|CTU|PEK|IAD|BGM|
BGM|HGH,|HGH|PEK|IAD|BGM|
BGM|XMN,|XMN|PEK|IAD|BGM|
BGM|CGO,|CGO|PEK|IAD|BGM|
BGM|CSX,|CSX|PEK|IAD|BGM|
BGM|SHE,|SHE|PEK|IAD|BGM|
BGM|SJW,|SJW|DLC|PEK|IAD|BGM|
BGM|WUH,|WUH|PEK|IAD|BGM|
BGM|SZX,|SZX|PEK|IAD|BGM|
BGM|CKG,|CKG|PEK|IAD|BGM|
BGM|KMG,|KMG|PEK|IAD|BGM|
BGM|FOC,|FOC|PEK|IAD|BGM|
BGM|NNG,|NNG|PEK|IAD|BGM|
BGM|SWA,|SWA|PEK|IAD|BGM|
BGM|ACX,|ACX|CAN|PEK|IAD|BGM|
BGM|AQG,|AQG|CAN|PEK|IAD|BGM|
BGM|AVA,|AVA|CAN|PEK|IAD|BGM|
BGM|BFJ,|BFJ|CAN|PEK|IAD|BGM|
BGM|BHY,|BHY|CGO|PEK|IAD|BGM|
BGM|BNE,|BNE|CAN|PEK|IAD|BGM|
BGM|CGD,|CGD|PEK|IAD|BGM|
BGM|CGK,|CGK|CAN|PEK|IAD|BGM|
BGM|CGQ,|CGQ|PEK|IAD|BGM|
BGM|CIH,|CIH|PEK|IAD|BGM|
BGM|CNX,|CNX|CAN|PEK|IAD|BGM|
BGM|CZX,|CZX|SHE|PEK|IAD|BGM|
BGM|DAC,|DAC|IST|IAD|BGM|
BGM|DAD,|DAD|CAN|PEK|IAD|BGM|
BGM|DEL,|DEL|EWR|IAD|BGM|
BGM|DIG,|DIG|KMG|PEK|IAD|BGM|
BGM|DLC,|DLC|PEK|IAD|BGM|
BGM|DPS,|DPS|SZX|PEK|IAD|BGM|
BGM|DXB,|DXB|IAD|BGM|
BGM|DYG,|DYG|PEK|IAD|BGM|
BGM|FUG,|FUG|CAN|PEK|IAD|BGM|
BGM|FUK,|FUK|ICN|JFK|IAD|BGM|
BGM|HAK,|HAK|PEK|IAD|BGM|
BGM|HAN,|HAN|PEK|IAD|BGM|
BGM|HDG,|HDG|CAN|PEK|IAD|BGM|
BGM|HET,|HET|DLC|PEK|IAD|BGM|
BGM|HFE,|HFE|XIY|PEK|IAD|BGM|
BGM|HJJ,|HJJ|CSX|PEK|IAD|BGM|
BGM|HKT,|HKT|KWE|PEK|IAD|BGM|
BGM|HRB,|HRB|PEK|IAD|BGM|
BGM|HZH,|HZH|CAN|PEK|IAD|BGM|
BGM|JIU,|JIU|CAN|PEK|IAD|BGM|
BGM|JJN,|JJN|PEK|IAD|BGM|
BGM|JNG,|JNG|CAN|PEK|IAD|BGM|
BGM|KHN,|KHN|DLC|PEK|IAD|BGM|
BGM|KIX,|KIX|SFO|IAD|BGM|
BGM|KOW,|KOW|PEK|IAD|BGM|
BGM|KTM,|KTM|IST|IAD|BGM|
BGM|KUL,|KUL|CAN|PEK|IAD|BGM|
BGM|KWE,|KWE|PEK|IAD|BGM|
BGM|KWL,|KWL|PEK|IAD|BGM|
BGM|LHW,|LHW|CGO|PEK|IAD|BGM|
BGM|LYA,|LYA|KHN|DLC|PEK|IAD|BGM|
BGM|LYG,|LYG|HSN|PEK|IAD|BGM|
BGM|LZH,|LZH|CAN|PEK|IAD|BGM|
BGM|MEL,|MEL|SYD|LAX|IAD|BGM|
BGM|MIG,|MIG|CSX|PEK|IAD|BGM|
BGM|MLE,|MLE|IST|IAD|BGM|
BGM|MNL,|MNL|XMN|PEK|IAD|BGM|
BGM|MXZ,|MXZ|CAN|PEK|IAD|BGM|
BGM|NAO,|NAO|PEK|IAD|BGM|
BGM|NGB,|NGB|PEK|IAD|BGM|
BGM|NKG,|NKG|DLC|PEK|IAD|BGM|
BGM|NNY,|NNY|CGO|PEK|IAD|BGM|
BGM|PEN,|PEN|CAN|PEK|IAD|BGM|
BGM|PER,|PER|CAN|PEK|IAD|BGM|
BGM|PNH,|PNH|CAN|PEK|IAD|BGM|
BGM|REP,|REP|CAN|PEK|IAD|BGM|
BGM|RGN,|RGN|CAN|PEK|IAD|BGM|
BGM|SGN,|SGN|CAN|PEK|IAD|BGM|
BGM|SHA,|SHA|PEK|IAD|BGM|
BGM|SIN,|SIN|CAN|PEK|IAD|BGM|
BGM|SVO,|SVO|URC|TSE|FRA|IAD|BGM|
BGM|SYX,|SYX|PEK|IAD|BGM|
BGM|TAO,|TAO|DLC|PEK|IAD|BGM|
BGM|TEN,|TEN|PEK|IAD|BGM|
BGM|TNA,|TNA|DLC|PEK|IAD|BGM|
BGM|TPE,|TPE|PVG|YYZ|IAD|BGM|
BGM|TSN,|TSN|DLC|PEK|IAD|BGM|
BGM|TXN,|TXN|DLC|PEK|IAD|BGM|
BGM|TYN,|TYN|DAT|CIH|PEK|IAD|BGM|
BGM|WNZ,|WNZ|CGO|PEK|IAD|BGM|
BGM|WUX,|WUX|CAN|PEK|IAD|BGM|
BGM|XFN,|XFN|XMN|PEK|IAD|BGM|
BGM|XIY,|XIY|PEK|IAD|BGM|
BGM|XUZ,|XUZ|LYG|HSN|PEK|IAD|BGM|
BGM|YIH,|YIH|CKG|PEK|IAD|BGM|
BGM|YIW,|YIW|PEK|IAD|BGM|
BGM|YNT,|YNT|SHE|PEK|IAD|BGM|
BGM|YNZ,|YNZ|DLC|PEK|IAD|BGM|
BGM|YTY,|YTY|DLC|PEK|IAD|BGM|
BGM|ZHA,|ZHA|CAN|PEK|IAD|BGM|
BGM|ZYI,|ZYI|PEK|IAD|BGM|
BGM|BAV,|BAV|CGO|PEK|IAD|BGM|
BGM|CJU,|CJU|DLC|PEK|IAD|BGM|
BGM|DSN,|DSN|CGO|PEK|IAD|BGM|
BGM|HMI,|HMI|URC|TSE|FRA|IAD|BGM|
BGM|INC,|INC|PEK|IAD|BGM|
BGM|KHH,|KHH|CGO|PEK|IAD|BGM|
BGM|UYN,|UYN|CGO|PEK|IAD|BGM|
BGM|XNN,|XNN|PEK|IAD|BGM|
BGM|ZUH,|ZUH|PEK|IAD|BGM|
BGM|YNJ,|YNJ|ICN|JFK|IAD|BGM|
BGM|DAT,|DAT|CIH|PEK|IAD|BGM|
BGM|JHG,|JHG|CKG|PEK|IAD|BGM|
BGM|LJG,|LJG|CKG|PEK|IAD|BGM|
BGM|LXA,|LXA|XIY|PEK|IAD|BGM|
BGM|YCU,|YCU|CSX|PEK|IAD|BGM|
BGM|LZO,|LZO|CSX|PEK|IAD|BGM|
BGM|MDG,|MDG|ICN|JFK|IAD|BGM|
BGM|NGO,|NGO|ICN|JFK|IAD|BGM|
BGM|TOY,|TOY|DLC|PEK|IAD|BGM|
BGM|MFM,|MFM|XMN|PEK|IAD|BGM|
BGM|TGO,|TGO|HET|DLC|PEK|IAD|BGM|
BGM|XIL,|XIL|HET|DLC|PEK|IAD|BGM|
BGM|HEK,|HEK|HRB|PEK|IAD|BGM|
BGM|KIJ,|KIJ|HRB|PEK|IAD|BGM|
BGM|LDS,|LDS|HRB|PEK|IAD|BGM|
BGM|OHE,|OHE|HRB|PEK|IAD|BGM|
BGM|HSN,|HSN|PEK|IAD|BGM|
BGM|DLU,|DLU|KMG|PEK|IAD|BGM|
BGM|SYM,|SYM|KMG|PEK|IAD|BGM|
BGM|ZAT,|ZAT|KMG|PEK|IAD|BGM|
BGM|LUN,|LUN|NBO|ZRH|IAD|BGM|
BGM|AOG,|AOG|PEK|IAD|BGM|
BGM|GMP,|GMP|PEK|IAD|BGM|
BGM|ISB,|ISB|IST|IAD|BGM|
BGM|TAS,|TAS|IST|IAD|BGM|
BGM|WUS,|WUS|PEK|IAD|BGM|
BGM|JMU,|JMU|PVG|YYZ|IAD|BGM|
BGM|NDG,|NDG|PVG|YYZ|IAD|BGM|
BGM|JXA,|JXA|SHE|PEK|IAD|BGM|
BGM|PUS,|PUS|SHE|PEK|IAD|BGM|
BGM|BKI,|BKI|SZX|PEK|IAD|BGM|
BGM|AKU,|AKU|URC|TSE|FRA|IAD|BGM|
BGM|ALA,|ALA|TSE|FRA|IAD|BGM|
BGM|ASB,|ASB|GYD|FRA|IAD|BGM|
BGM|DNH,|DNH|URC|TSE|FRA|IAD|BGM|
BGM|DYU,|DYU|IST|IAD|BGM|
BGM|FRU,|FRU|IST|IAD|BGM|
BGM|GYD,|GYD|FRA|IAD|BGM|
BGM|HTN,|HTN|URC|TSE|FRA|IAD|BGM|
BGM|IKA,|IKA|SAW|FRA|IAD|BGM|
BGM|KCA,|KCA|URC|TSE|FRA|IAD|BGM|
BGM|KHG,|KHG|URC|TSE|FRA|IAD|BGM|
BGM|KRL,|KRL|URC|TSE|FRA|IAD|BGM|
BGM|KRY,|KRY|URC|TSE|FRA|IAD|BGM|
BGM|LBD,|LBD|URC|TSE|FRA|IAD|BGM|
BGM|NLT,|NLT|URC|TSE|FRA|IAD|BGM|
BGM|OSS,|OSS|IST|IAD|BGM|
BGM|OVB,|OVB|IST|IAD|BGM|
BGM|TBS,|TBS|SAW|FRA|IAD|BGM|
BGM|TCG,|TCG|URC|TSE|FRA|IAD|BGM|
BGM|TSE,|TSE|FRA|IAD|BGM|
BGM|YIN,|YIN|URC|TSE|FRA|IAD|BGM|
BGM|ENH,|ENH|WUH|PEK|IAD|BGM|
BGM|ENY,|ENY|XIY|PEK|IAD|BGM|
BGM|WXN,|WXN|XIY|PEK|IAD|BGM|
BGM|BLL,|BLL|IST|IAD|BGM|
BGM|ESB,|ESB|VIE|IAD|BGM|
BGM|SAW,|SAW|FRA|IAD|BGM|
BGM|HAM,|HAM|EWR|IAD|BGM|
BGM|HRE,|HRE|ADD|JED|FRA|IAD|BGM|
BGM|JUB,|JUB|CAI|JFK|IAD|BGM|
BGM|SSG,|SSG|DLA|BRU|IAD|BGM|
BGM|BGW,|BGW|ESB|VIE|IAD|BGM|
BGM|EBL,|EBL|IST|IAD|BGM|
BGM|VKO,|VKO|IST|IAD|BGM|
BGM|MCT,|MCT|IST|IAD|BGM|
BGM|AYT,|AYT|IST|IAD|BGM|
BGM|SCQ,|SCQ|BIO|IST|IAD|BGM|
BGM|AAL,|AAL|IST|IAD|BGM|
BGM|AOE,|AOE|BRU|IAD|BGM|
BGM|JNB,|JNB|DKR|IAD|BGM|
BGM|LBV,|LBV|DLA|BRU|IAD|BGM|
BGM|ADA,|ADA|SAW|FRA|IAD|BGM|
BGM|ADB,|ADB|HAM|EWR|IAD|BGM|
BGM|ADF,|ADF|ESB|VIE|IAD|BGM|
BGM|AJI,|AJI|ESB|VIE|IAD|BGM|
BGM|BAL,|BAL|ESB|VIE|IAD|BGM|
BGM|BJV,|BJV|IST|IAD|BGM|
BGM|CKZ,|CKZ|ESB|VIE|IAD|BGM|
BGM|DIY,|DIY|ESB|VIE|IAD|BGM|
BGM|ECN,|ECN|IST|IAD|BGM|
BGM|ERC,|ERC|ESB|VIE|IAD|BGM|
BGM|ERZ,|ERZ|ESB|VIE|IAD|BGM|
BGM|EZS,|EZS|ESB|VIE|IAD|BGM|
BGM|GNY,|GNY|ESB|VIE|IAD|BGM|
BGM|GZP,|GZP|ESB|VIE|IAD|BGM|
BGM|GZT,|GZT|ESB|VIE|IAD|BGM|
BGM|HTY,|HTY|SAW|FRA|IAD|BGM|
BGM|KCM,|KCM|ESB|VIE|IAD|BGM|
BGM|KSY,|KSY|ESB|VIE|IAD|BGM|
BGM|MLX,|MLX|ESB|VIE|IAD|BGM|
