STW|BRU,|BRU|SAW|STW|
STW|OUA,|OUA|NIM|IST|ADB|SAW|STW|
STW|JED,|JED|IST|ADB|SAW|STW|
STW|CPH,|CPH|IST|ADB|SAW|STW|
STW|YYZ,|YYZ|VIE|SAW|STW|
STW|DEN,|DEN|FRA|SAW|STW|
STW|YUL,|YUL|FRA|SAW|STW|
STW|NBO,|NBO|IST|ADB|SAW|STW|
STW|ICN,|ICN|PEK|URC|TBS|SAW|STW|
STW|NRT,|NRT|PEK|URC|TBS|SAW|STW|
STW|YHZ,|YHZ|LHR|IST|ADB|SAW|STW|
STW|YOW,|YOW|FRA|SAW|STW|
STW|BJM,|BJM|BRU|SAW|STW|
STW|COO,|COO|BRU|SAW|STW|
STW|DKR,|DKR|BRU|SAW|STW|
STW|DLA,|DLA|IST|ADB|SAW|STW|
STW|KGL,|KGL|IST|ADB|SAW|STW|
STW|LAD,|LAD|BRU|SAW|STW|
STW|ABJ,|ABJ|OUA|NIM|IST|ADB|SAW|STW|
STW|AMS,|AMS|SAW|STW|
STW|OSL,|OSL|IST|ADB|SAW|STW|
STW|VNO,|VNO|IST|ADB|SAW|STW|
STW|WAW,|WAW|IST|ADB|SAW|STW|
STW|YYC,|YYC|FRA|SAW|STW|
STW|ATL,|ATL|FRA|SAW|STW|
STW|MSY,|MSY|IAD|FRA|SAW|STW|
STW|YEG,|YEG|YYC|FRA|SAW|STW|
STW|YMM,|YMM|YYC|FRA|SAW|STW|
STW|YQR,|YQR|YYC|FRA|SAW|STW|
STW|YVR,|YVR|MUC|SAW|STW|
STW|YWG,|YWG|YUL|FRA|SAW|STW|
STW|YXE,|YXE|YYC|FRA|SAW|STW|
STW|CKY,|CKY|DKR|BRU|SAW|STW|
STW|FIH,|FIH|IST|ADB|SAW|STW|
STW|SCL,|SCL|EZE|GRU|IST|ADB|SAW|STW|
STW|LCA,|LCA|FRA|SAW|STW|
STW|NAP,|NAP|IST|ADB|SAW|STW|
STW|VLC,|VLC|IST|ADB|SAW|STW|
STW|BKK,|BKK|IST|ADB|SAW|STW|
STW|ADD,|ADD|IST|ADB|SAW|STW|
STW|FRA,|FRA|SAW|STW|
STW|IST,|IST|ADB|SAW|STW|
STW|EBB,|EBB|KGL|IST|ADB|SAW|STW|
STW|YLW,|YLW|YYC|FRA|SAW|STW|
STW|YYT,|YYT|LHR|IST|ADB|SAW|STW|
STW|GUA,|GUA|MIA|FRA|SAW|STW|
STW|EWR,|EWR|FRA|SAW|STW|
STW|IAD,|IAD|FRA|SAW|STW|
STW|IAH,|IAH|YYZ|VIE|SAW|STW|
STW|ORD,|ORD|VIE|SAW|STW|
STW|SOF,|SOF|IST|ADB|SAW|STW|
STW|YQB,|YQB|YUL|FRA|SAW|STW|
STW|YXU,|YXU|YYZ|VIE|SAW|STW|
STW|EZE,|EZE|GRU|IST|ADB|SAW|STW|
STW|YYJ,|YYJ|YVR|MUC|SAW|STW|
STW|YYY,|YYY|YUL|FRA|SAW|STW|
STW|YQQ,|YQQ|YBL|YVR|MUC|SAW|STW|
STW|YYR,|YYR|YYT|LHR|IST|ADB|SAW|STW|
STW|LHR,|LHR|IST|ADB|SAW|STW|
STW|SFO,|SFO|MUC|SAW|STW|
STW|YQU,|YQU|YYC|FRA|SAW|STW|
STW|YZF,|YZF|YYC|FRA|SAW|STW|
STW|YGR,|YGR|YGP|YQB|YUL|FRA|SAW|STW|
STW|YGP,|YGP|YQB|YUL|FRA|SAW|STW|
STW|BOS,|BOS|FRA|SAW|STW|
STW|YDF,|YDF|YYT|LHR|IST|ADB|SAW|STW|
STW|YFC,|YFC|YHZ|LHR|IST|ADB|SAW|STW|
STW|YQM,|YQM|YHZ|LHR|IST|ADB|SAW|STW|
STW|YQX,|YQX|YYT|LHR|IST|ADB|SAW|STW|
STW|YQY,|YQY|YHZ|LHR|IST|ADB|SAW|STW|
STW|YSJ,|YSJ|YHZ|LHR|IST|ADB|SAW|STW|
STW|YYG,|YYG|YHZ|LHR|IST|ADB|SAW|STW|
STW|LAX,|LAX|FRA|SAW|STW|
STW|DCA,|DCA|EWR|FRA|SAW|STW|
STW|LGA,|LGA|YUL|FRA|SAW|STW|
STW|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ADB|SAW|STW|
STW|YWL,|YWL|YVR|MUC|SAW|STW|
STW|AZS,|AZS|YUL|FRA|SAW|STW|
STW|BDL,|BDL|YUL|FRA|SAW|STW|
STW|CCC,|CCC|YUL|FRA|SAW|STW|
STW|CDG,|CDG|SAW|STW|
STW|CUN,|CUN|EWR|FRA|SAW|STW|
STW|CZM,|CZM|YUL|FRA|SAW|STW|
STW|FDF,|FDF|YUL|FRA|SAW|STW|
STW|FLL,|FLL|MCO|FRA|SAW|STW|
STW|GVA,|GVA|IST|ADB|SAW|STW|
STW|HOG,|HOG|YUL|FRA|SAW|STW|
STW|LAS,|LAS|DEN|FRA|SAW|STW|
STW|MBJ,|MBJ|EWR|FRA|SAW|STW|
STW|MCO,|MCO|FRA|SAW|STW|
STW|MUC,|MUC|SAW|STW|
STW|PAP,|PAP|YUL|FRA|SAW|STW|
STW|PTP,|PTP|YUL|FRA|SAW|STW|
STW|PUJ,|PUJ|EWR|FRA|SAW|STW|
STW|SNU,|SNU|YUL|FRA|SAW|STW|
STW|VRA,|VRA|YUL|FRA|SAW|STW|
STW|YBC,|YBC|YUL|FRA|SAW|STW|
STW|YBG,|YBG|YUL|FRA|SAW|STW|
STW|YTZ,|YTZ|YUL|FRA|SAW|STW|
STW|YUY,|YUY|YUL|FRA|SAW|STW|
STW|YVO,|YVO|YUL|FRA|SAW|STW|
STW|ZBF,|ZBF|YUL|FRA|SAW|STW|
STW|ZRH,|ZRH|IST|ADB|SAW|STW|
STW|ZSA,|ZSA|YUL|FRA|SAW|STW|
STW|AKL,|AKL|CAN|URC|TBS|SAW|STW|
STW|HKG,|HKG|CAN|URC|TBS|SAW|STW|
STW|HND,|HND|YVR|MUC|SAW|STW|
STW|HNL,|HNL|YVR|MUC|SAW|STW|
STW|MEX,|MEX|IAD|FRA|SAW|STW|
STW|OGG,|OGG|YVR|MUC|SAW|STW|
STW|PDX,|PDX|SEA|FRA|SAW|STW|
STW|PEK,|PEK|URC|TBS|SAW|STW|
STW|PVG,|PVG|URC|TBS|SAW|STW|
STW|PVR,|PVR|ORD|VIE|SAW|STW|
STW|SEA,|SEA|FRA|SAW|STW|
STW|SYD,|SYD|CAN|URC|TBS|SAW|STW|
STW|YBL,|YBL|YVR|MUC|SAW|STW|
STW|YCD,|YCD|YVR|MUC|SAW|STW|
STW|YCG,|YCG|YYC|FRA|SAW|STW|
STW|YKA,|YKA|YYC|FRA|SAW|STW|
STW|YPR,|YPR|YVR|MUC|SAW|STW|
STW|YQZ,|YQZ|YVR|MUC|SAW|STW|
STW|YXC,|YXC|YYC|FRA|SAW|STW|
STW|YXJ,|YXJ|YYC|FRA|SAW|STW|
STW|YXS,|YXS|YYC|FRA|SAW|STW|
STW|YXT,|YXT|YVR|MUC|SAW|STW|
STW|YXY,|YXY|YVR|MUC|SAW|STW|
STW|YYD,|YYD|YVR|MUC|SAW|STW|
STW|YYF,|YYF|YVR|MUC|SAW|STW|
STW|YZP,|YZP|YVR|MUC|SAW|STW|
STW|YQT,|YQT|YYZ|VIE|SAW|STW|
STW|SJD,|SJD|ORD|VIE|SAW|STW|
STW|YQF,|YQF|YYC|FRA|SAW|STW|
STW|YQL,|YQL|YYC|FRA|SAW|STW|
STW|YXH,|YXH|YYC|FRA|SAW|STW|
STW|YWK,|YWK|YYR|YYT|LHR|IST|ADB|SAW|STW|
STW|ANU,|ANU|EWR|FRA|SAW|STW|
STW|AUA,|AUA|EWR|FRA|SAW|STW|
STW|AUH,|AUH|IST|ADB|SAW|STW|
STW|BCN,|BCN|IST|ADB|SAW|STW|
STW|BDA,|BDA|EWR|FRA|SAW|STW|
STW|BGI,|BGI|YYZ|VIE|SAW|STW|
STW|BNA,|BNA|YYZ|VIE|SAW|STW|
STW|BOG,|BOG|JFK|FRA|SAW|STW|
STW|BWI,|BWI|EWR|FRA|SAW|STW|
STW|CLE,|CLE|YYZ|VIE|SAW|STW|
STW|CLT,|CLT|EWR|FRA|SAW|STW|
STW|CMH,|CMH|YYZ|VIE|SAW|STW|
STW|CVG,|CVG|YYZ|VIE|SAW|STW|
STW|DFW,|DFW|ORD|VIE|SAW|STW|
STW|DTW,|DTW|YYZ|VIE|SAW|STW|
STW|DUB,|DUB|IST|ADB|SAW|STW|
STW|FCO,|FCO|IST|ADB|SAW|STW|
STW|GCM,|GCM|EWR|FRA|SAW|STW|
STW|GGT,|GGT|FLL|MCO|FRA|SAW|STW|
STW|GND,|GND|YYZ|VIE|SAW|STW|
STW|GRU,|GRU|IST|ADB|SAW|STW|
STW|HAV,|HAV|YYZ|VIE|SAW|STW|
STW|IND,|IND|YYZ|VIE|SAW|STW|
STW|JFK,|JFK|FRA|SAW|STW|
STW|KIN,|KIN|YYZ|VIE|SAW|STW|
STW|LIM,|LIM|MIA|FRA|SAW|STW|
STW|LIR,|LIR|EWR|FRA|SAW|STW|
STW|MCI,|MCI|ORD|VIE|SAW|STW|
STW|MDT,|MDT|IAD|FRA|SAW|STW|
STW|MIA,|MIA|FRA|SAW|STW|
STW|MKE,|MKE|YYZ|VIE|SAW|STW|
STW|MSP,|MSP|YUL|FRA|SAW|STW|
STW|NAS,|NAS|EWR|FRA|SAW|STW|
STW|PHL,|PHL|IAD|FRA|SAW|STW|
STW|PHX,|PHX|DEN|FRA|SAW|STW|
STW|PIT,|PIT|YYZ|VIE|SAW|STW|
STW|PLS,|PLS|EWR|FRA|SAW|STW|
STW|POP,|POP|EWR|FRA|SAW|STW|
STW|RDU,|RDU|EWR|FRA|SAW|STW|
STW|ROC,|ROC|YYZ|VIE|SAW|STW|
STW|RSW,|RSW|MCO|FRA|SAW|STW|
STW|SAN,|SAN|DEN|FRA|SAW|STW|
STW|SJO,|SJO|EWR|FRA|SAW|STW|
STW|STL,|STL|ORD|VIE|SAW|STW|
STW|SYR,|SYR|EWR|FRA|SAW|STW|
STW|TLV,|TLV|SAW|STW|
STW|TPA,|TPA|EWR|FRA|SAW|STW|
STW|UVF,|UVF|EWR|FRA|SAW|STW|
STW|VIE,|VIE|SAW|STW|
STW|YAM,|YAM|YYZ|VIE|SAW|STW|
STW|YGK,|YGK|YYZ|VIE|SAW|STW|
STW|YQG,|YQG|YYZ|VIE|SAW|STW|
STW|YSB,|YSB|YYZ|VIE|SAW|STW|
STW|YTS,|YTS|YYZ|VIE|SAW|STW|
STW|YYB,|YYB|YYZ|VIE|SAW|STW|
STW|YZR,|YZR|YYZ|VIE|SAW|STW|
STW|CAN,|CAN|URC|TBS|SAW|STW|
STW|URC,|URC|TBS|SAW|STW|
STW|CTU,|CTU|URC|TBS|SAW|STW|
STW|HGH,|HGH|URC|TBS|SAW|STW|
STW|XMN,|XMN|CSX|URC|TBS|SAW|STW|
STW|CGO,|CGO|URC|TBS|SAW|STW|
STW|CSX,|CSX|URC|TBS|SAW|STW|
STW|SHE,|SHE|HET|URC|TBS|SAW|STW|
STW|SJW,|SJW|URC|TBS|SAW|STW|
STW|WUH,|WUH|URC|TBS|SAW|STW|
STW|SZX,|SZX|CKG|URC|TBS|SAW|STW|
STW|CKG,|CKG|URC|TBS|SAW|STW|
STW|KMG,|KMG|CTU|URC|TBS|SAW|STW|
STW|FOC,|FOC|XIY|URC|TBS|SAW|STW|
STW|NNG,|NNG|KWE|URC|TBS|SAW|STW|
STW|SWA,|SWA|CSX|URC|TBS|SAW|STW|
STW|ACX,|ACX|CAN|URC|TBS|SAW|STW|
STW|AQG,|AQG|CAN|URC|TBS|SAW|STW|
STW|AVA,|AVA|CAN|URC|TBS|SAW|STW|
STW|BFJ,|BFJ|CAN|URC|TBS|SAW|STW|
STW|BHY,|BHY|CKG|URC|TBS|SAW|STW|
STW|BNE,|BNE|CAN|URC|TBS|SAW|STW|
STW|CGD,|CGD|PEK|URC|TBS|SAW|STW|
STW|CGK,|CGK|SIN|IST|ADB|SAW|STW|
STW|CGQ,|CGQ|HET|URC|TBS|SAW|STW|
STW|CIH,|CIH|DAT|TYN|URC|TBS|SAW|STW|
STW|CNX,|CNX|CAN|URC|TBS|SAW|STW|
STW|CZX,|CZX|TYN|URC|TBS|SAW|STW|
STW|DAC,|DAC|IST|ADB|SAW|STW|
STW|DAD,|DAD|CAN|URC|TBS|SAW|STW|
STW|DEL,|DEL|IST|ADB|SAW|STW|
STW|DIG,|DIG|KMG|CTU|URC|TBS|SAW|STW|
STW|DLC,|DLC|PEK|URC|TBS|SAW|STW|
STW|DPS,|DPS|CAN|URC|TBS|SAW|STW|
STW|DXB,|DXB|IST|ADB|SAW|STW|
STW|DYG,|DYG|CSX|URC|TBS|SAW|STW|
STW|FUG,|FUG|CAN|URC|TBS|SAW|STW|
STW|FUK,|FUK|ICN|PEK|URC|TBS|SAW|STW|
STW|HAK,|HAK|CTU|URC|TBS|SAW|STW|
STW|HAN,|HAN|CAN|URC|TBS|SAW|STW|
STW|HDG,|HDG|CAN|URC|TBS|SAW|STW|
STW|HET,|HET|URC|TBS|SAW|STW|
STW|HFE,|HFE|XIY|URC|TBS|SAW|STW|
STW|HJJ,|HJJ|CSX|URC|TBS|SAW|STW|
STW|HKT,|HKT|KWE|URC|TBS|SAW|STW|
STW|HRB,|HRB|PEK|URC|TBS|SAW|STW|
STW|HZH,|HZH|CAN|URC|TBS|SAW|STW|
STW|JIU,|JIU|CAN|URC|TBS|SAW|STW|
STW|JJN,|JJN|CSX|URC|TBS|SAW|STW|
STW|JNG,|JNG|CAN|URC|TBS|SAW|STW|
STW|KHN,|KHN|XIY|URC|TBS|SAW|STW|
STW|KIX,|KIX|DLC|PEK|URC|TBS|SAW|STW|
STW|KOW,|KOW|CAN|URC|TBS|SAW|STW|
STW|KTM,|KTM|IST|ADB|SAW|STW|
STW|KUL,|KUL|IST|ADB|SAW|STW|
STW|KWE,|KWE|URC|TBS|SAW|STW|
STW|KWL,|KWL|CKG|URC|TBS|SAW|STW|
STW|LHW,|LHW|URC|TBS|SAW|STW|
STW|LYA,|LYA|KHN|XIY|URC|TBS|SAW|STW|
STW|LYG,|LYG|XUZ|INC|URC|TBS|SAW|STW|
STW|LZH,|LZH|CAN|URC|TBS|SAW|STW|
STW|MEL,|MEL|BKK|IST|ADB|SAW|STW|
STW|MIG,|MIG|CSX|URC|TBS|SAW|STW|
STW|MLE,|MLE|IST|ADB|SAW|STW|
STW|MNL,|MNL|CAN|URC|TBS|SAW|STW|
STW|MXZ,|MXZ|CAN|URC|TBS|SAW|STW|
STW|NAO,|NAO|PEK|URC|TBS|SAW|STW|
STW|NGB,|NGB|WUH|URC|TBS|SAW|STW|
STW|NKG,|NKG|URC|TBS|SAW|STW|
STW|NNY,|NNY|CGO|URC|TBS|SAW|STW|
STW|PEN,|PEN|CAN|URC|TBS|SAW|STW|
STW|PER,|PER|BKK|IST|ADB|SAW|STW|
STW|PNH,|PNH|CAN|URC|TBS|SAW|STW|
STW|REP,|REP|CAN|URC|TBS|SAW|STW|
STW|RGN,|RGN|CAN|URC|TBS|SAW|STW|
STW|SGN,|SGN|BKK|IST|ADB|SAW|STW|
STW|SHA,|SHA|URC|TBS|SAW|STW|
STW|SIN,|SIN|IST|ADB|SAW|STW|
STW|SVO,|SVO|URC|TBS|SAW|STW|
STW|SYX,|SYX|CKG|URC|TBS|SAW|STW|
STW|TAO,|TAO|TYN|URC|TBS|SAW|STW|
STW|TEN,|TEN|CAN|URC|TBS|SAW|STW|
STW|TNA,|TNA|URC|TBS|SAW|STW|
STW|TPE,|TPE|URC|TBS|SAW|STW|
STW|TSN,|TSN|HET|URC|TBS|SAW|STW|
STW|TXN,|TXN|TYN|URC|TBS|SAW|STW|
STW|TYN,|TYN|URC|TBS|SAW|STW|
STW|WNZ,|WNZ|XIY|URC|TBS|SAW|STW|
STW|WUX,|WUX|CAN|URC|TBS|SAW|STW|
STW|XFN,|XFN|CAN|URC|TBS|SAW|STW|
STW|XIY,|XIY|URC|TBS|SAW|STW|
STW|XUZ,|XUZ|INC|URC|TBS|SAW|STW|
STW|YIH,|YIH|CKG|URC|TBS|SAW|STW|
STW|YIW,|YIW|URC|TBS|SAW|STW|
STW|YNT,|YNT|SHE|HET|URC|TBS|SAW|STW|
STW|YNZ,|YNZ|WUH|URC|TBS|SAW|STW|
STW|YTY,|YTY|CGO|URC|TBS|SAW|STW|
STW|ZHA,|ZHA|CAN|URC|TBS|SAW|STW|
STW|ZYI,|ZYI|CAN|URC|TBS|SAW|STW|
STW|BAV,|BAV|URC|TBS|SAW|STW|
STW|CJU,|CJU|DLC|PEK|URC|TBS|SAW|STW|
STW|DSN,|DSN|CGO|URC|TBS|SAW|STW|
STW|HMI,|HMI|URC|TBS|SAW|STW|
STW|INC,|INC|URC|TBS|SAW|STW|
STW|KHH,|KHH|WUH|URC|TBS|SAW|STW|
STW|UYN,|UYN|XIY|URC|TBS|SAW|STW|
STW|XNN,|XNN|URC|TBS|SAW|STW|
STW|ZUH,|ZUH|KWE|URC|TBS|SAW|STW|
STW|YNJ,|YNJ|CGQ|HET|URC|TBS|SAW|STW|
STW|DAT,|DAT|TYN|URC|TBS|SAW|STW|
STW|JHG,|JHG|KMG|CTU|URC|TBS|SAW|STW|
STW|LJG,|LJG|KMG|CTU|URC|TBS|SAW|STW|
STW|LXA,|LXA|CKG|URC|TBS|SAW|STW|
STW|YCU,|YCU|CKG|URC|TBS|SAW|STW|
STW|LZO,|LZO|CSX|URC|TBS|SAW|STW|
STW|MDG,|MDG|DLC|PEK|URC|TBS|SAW|STW|
STW|NGO,|NGO|DLC|PEK|URC|TBS|SAW|STW|
STW|TOY,|TOY|DLC|PEK|URC|TBS|SAW|STW|
STW|MFM,|MFM|XMN|CSX|URC|TBS|SAW|STW|
STW|TGO,|TGO|HET|URC|TBS|SAW|STW|
STW|XIL,|XIL|HET|URC|TBS|SAW|STW|
STW|HEK,|HEK|HRB|PEK|URC|TBS|SAW|STW|
STW|KIJ,|KIJ|HRB|PEK|URC|TBS|SAW|STW|
STW|LDS,|LDS|HRB|PEK|URC|TBS|SAW|STW|
STW|OHE,|OHE|HRB|PEK|URC|TBS|SAW|STW|
STW|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|STW|
STW|DLU,|DLU|KMG|CTU|URC|TBS|SAW|STW|
STW|SYM,|SYM|KMG|CTU|URC|TBS|SAW|STW|
STW|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|STW|
STW|LUN,|LUN|NBO|IST|ADB|SAW|STW|
STW|AOG,|AOG|PEK|URC|TBS|SAW|STW|
STW|GMP,|GMP|PEK|URC|TBS|SAW|STW|
STW|ISB,|ISB|IST|ADB|SAW|STW|
STW|TAS,|TAS|IST|ADB|SAW|STW|
STW|WUS,|WUS|PEK|URC|TBS|SAW|STW|
STW|JMU,|JMU|PVG|URC|TBS|SAW|STW|
STW|NDG,|NDG|PVG|URC|TBS|SAW|STW|
STW|JXA,|JXA|SHE|HET|URC|TBS|SAW|STW|
STW|PUS,|PUS|SHE|HET|URC|TBS|SAW|STW|
STW|BKI,|BKI|SZX|CKG|URC|TBS|SAW|STW|
STW|AKU,|AKU|URC|TBS|SAW|STW|
STW|ALA,|ALA|IST|ADB|SAW|STW|
STW|ASB,|ASB|IST|ADB|SAW|STW|
STW|DNH,|DNH|URC|TBS|SAW|STW|
STW|DYU,|DYU|IST|ADB|SAW|STW|
STW|FRU,|FRU|IST|ADB|SAW|STW|
STW|GYD,|GYD|IST|ADB|SAW|STW|
STW|HTN,|HTN|URC|TBS|SAW|STW|
STW|IKA,|IKA|SAW|STW|
STW|KCA,|KCA|URC|TBS|SAW|STW|
STW|KHG,|KHG|URC|TBS|SAW|STW|
STW|KRL,|KRL|URC|TBS|SAW|STW|
STW|KRY,|KRY|URC|TBS|SAW|STW|
STW|LBD,|LBD|URC|TBS|SAW|STW|
STW|NLT,|NLT|URC|TBS|SAW|STW|
STW|OSS,|OSS|IST|ADB|SAW|STW|
STW|OVB,|OVB|IST|ADB|SAW|STW|
STW|TBS,|TBS|SAW|STW|
STW|TCG,|TCG|URC|TBS|SAW|STW|
STW|TSE,|TSE|IST|ADB|SAW|STW|
STW|YIN,|YIN|URC|TBS|SAW|STW|
STW|ENH,|ENH|WUH|URC|TBS|SAW|STW|
STW|ENY,|ENY|XIY|URC|TBS|SAW|STW|
STW|WXN,|WXN|XIY|URC|TBS|SAW|STW|
STW|BLL,|BLL|IST|ADB|SAW|STW|
STW|ESB,|ESB|SAW|STW|
STW|SAW,|SAW|STW|
STW|HAM,|HAM|ADB|SAW|STW|
STW|HRE,|HRE|ADD|IST|ADB|SAW|STW|
STW|JUB,|JUB|CAI|IST|ADB|SAW|STW|
STW|SSG,|SSG|DLA|IST|ADB|SAW|STW|
STW|BGW,|BGW|ESB|SAW|STW|
STW|EBL,|EBL|AYT|SAW|STW|
STW|VKO,|VKO|ESB|SAW|STW|
STW|MCT,|MCT|BAH|KWI|SAW|STW|
STW|AYT,|AYT|SAW|STW|
STW|SCQ,|SCQ|BIO|IST|ADB|SAW|STW|
STW|AAL,|AAL|IST|ADB|SAW|STW|
STW|AOE,|AOE|BRU|SAW|STW|
STW|JNB,|JNB|IST|ADB|SAW|STW|
STW|LBV,|LBV|DLA|IST|ADB|SAW|STW|
STW|ADA,|ADA|SAW|STW|
STW|ADB,|ADB|SAW|STW|
STW|ADF,|ADF|ESB|SAW|STW|
STW|AJI,|AJI|ESB|SAW|STW|
STW|BAL,|BAL|ESB|SAW|STW|
STW|BJV,|BJV|SAW|STW|
STW|CKZ,|CKZ|ESB|SAW|STW|
STW|DIY,|DIY|SAW|STW|
STW|ECN,|ECN|SAW|STW|
STW|ERC,|ERC|ESB|SAW|STW|
STW|ERZ,|ERZ|SAW|STW|
STW|EZS,|EZS|SAW|STW|
STW|GNY,|GNY|ESB|SAW|STW|
STW|GZP,|GZP|ESB|SAW|STW|
STW|GZT,|GZT|SAW|STW|
STW|HTY,|HTY|SAW|STW|
STW|KCM,|KCM|ESB|SAW|STW|
STW|KSY,|KSY|SAW|STW|
STW|MLX,|MLX|ESB|SAW|STW|
STW|MQM,|MQM|SAW|STW|
STW|MSR,|MSR|ESB|SAW|STW|
STW|TEQ,|TEQ|ESB|SAW|STW|
STW|TZX,|TZX|SAW|STW|
STW|VAN,|VAN|SAW|STW|
STW|ULN,|ULN|FRU|IST|ADB|SAW|STW|
STW|HIJ,|HIJ|ICN|PEK|URC|TBS|SAW|STW|
STW|VVO,|VVO|ICN|PEK|URC|TBS|SAW|STW|
STW|ACC,|ACC|IST|ADB|SAW|STW|
STW|AER,|AER|IST|ADB|SAW|STW|
