YAP|BRU,|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|AGP,|AGP|IST|CAN|MNL|ROR|YAP|
YAP|ALG,|ALG|IST|CAN|MNL|ROR|YAP|
YAP|AMM,|AMM|IST|CAN|MNL|ROR|YAP|
YAP|AQJ,|AQJ|IST|CAN|MNL|ROR|YAP|
YAP|ARN,|ARN|IST|CAN|MNL|ROR|YAP|
YAP|ASR,|ASR|IST|CAN|MNL|ROR|YAP|
YAP|ATH,|ATH|IST|CAN|MNL|ROR|YAP|
YAP|BAH,|BAH|IST|CAN|MNL|ROR|YAP|
YAP|BEG,|BEG|IST|CAN|MNL|ROR|YAP|
YAP|BEN,|BEN|IST|CAN|MNL|ROR|YAP|
YAP|BEY,|BEY|IST|CAN|MNL|ROR|YAP|
YAP|BHX,|BHX|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|BIO,|BIO|IST|CAN|MNL|ROR|YAP|
YAP|BLQ,|BLQ|IST|CAN|MNL|ROR|YAP|
YAP|BOM,|BOM|IST|CAN|MNL|ROR|YAP|
YAP|BRE,|BRE|IST|CAN|MNL|ROR|YAP|
YAP|BSL,|BSL|IST|CAN|MNL|ROR|YAP|
YAP|BSR,|BSR|IST|CAN|MNL|ROR|YAP|
YAP|BUD,|BUD|IST|CAN|MNL|ROR|YAP|
YAP|BUS,|BUS|IST|CAN|MNL|ROR|YAP|
YAP|CAI,|CAI|IST|CAN|MNL|ROR|YAP|
YAP|CGN,|CGN|IST|CAN|MNL|ROR|YAP|
YAP|CMN,|CMN|IST|CAN|MNL|ROR|YAP|
YAP|CND,|CND|IST|CAN|MNL|ROR|YAP|
YAP|DAR,|DAR|NBO|CAN|MNL|ROR|YAP|
YAP|DLM,|DLM|IST|CAN|MNL|ROR|YAP|
YAP|DMM,|DMM|IST|CAN|MNL|ROR|YAP|
YAP|DNK,|DNK|IST|CAN|MNL|ROR|YAP|
YAP|DNZ,|DNZ|IST|CAN|MNL|ROR|YAP|
YAP|DOK,|DOK|IST|CAN|MNL|ROR|YAP|
YAP|DUS,|DUS|IST|CAN|MNL|ROR|YAP|
YAP|EDI,|EDI|IST|CAN|MNL|ROR|YAP|
YAP|ELQ,|ELQ|IST|CAN|MNL|ROR|YAP|
YAP|FDH,|FDH|IST|CAN|MNL|ROR|YAP|
YAP|GOA,|GOA|IST|CAN|MNL|ROR|YAP|
YAP|GOT,|GOT|IST|CAN|MNL|ROR|YAP|
YAP|HAJ,|HAJ|IST|CAN|MNL|ROR|YAP|
YAP|HBE,|HBE|IST|CAN|MNL|ROR|YAP|
YAP|HEL,|HEL|IST|CAN|MNL|ROR|YAP|
YAP|HRG,|HRG|IST|CAN|MNL|ROR|YAP|
YAP|IFN,|IFN|IST|CAN|MNL|ROR|YAP|
YAP|ISE,|ISE|IST|CAN|MNL|ROR|YAP|
YAP|ISU,|ISU|IST|CAN|MNL|ROR|YAP|
YAP|JIB,|JIB|IST|CAN|MNL|ROR|YAP|
YAP|JRO,|JRO|IST|CAN|MNL|ROR|YAP|
YAP|KAN,|KAN|IST|CAN|MNL|ROR|YAP|
YAP|KBL,|KBL|IST|CAN|MNL|ROR|YAP|
YAP|KBP,|KBP|IST|CAN|MNL|ROR|YAP|
YAP|KFS,|KFS|IST|CAN|MNL|ROR|YAP|
YAP|KHI,|KHI|IST|CAN|MNL|ROR|YAP|
YAP|KIV,|KIV|IST|CAN|MNL|ROR|YAP|
YAP|KRT,|KRT|IST|CAN|MNL|ROR|YAP|
YAP|KSH,|KSH|IST|CAN|MNL|ROR|YAP|
YAP|KVD,|KVD|IST|CAN|MNL|ROR|YAP|
YAP|KWI,|KWI|IST|CAN|MNL|ROR|YAP|
YAP|KYA,|KYA|IST|CAN|MNL|ROR|YAP|
YAP|KZN,|KZN|IST|CAN|MNL|ROR|YAP|
YAP|KZR,|KZR|IST|CAN|MNL|ROR|YAP|
YAP|LED,|LED|IST|CAN|MNL|ROR|YAP|
YAP|LEJ,|LEJ|IST|CAN|MNL|ROR|YAP|
YAP|LGW,|LGW|IST|CAN|MNL|ROR|YAP|
YAP|LHE,|LHE|IST|CAN|MNL|ROR|YAP|
YAP|LIS,|LIS|IST|CAN|MNL|ROR|YAP|
YAP|LJU,|LJU|IST|CAN|MNL|ROR|YAP|
YAP|LOS,|LOS|IST|CAN|MNL|ROR|YAP|
YAP|LUX,|LUX|IST|CAN|MNL|ROR|YAP|
YAP|LWO,|LWO|IST|CAN|MNL|ROR|YAP|
YAP|LYS,|LYS|IST|CAN|MNL|ROR|YAP|
YAP|MAD,|MAD|IST|CAN|MNL|ROR|YAP|
YAP|MAN,|MAN|IST|CAN|MNL|ROR|YAP|
YAP|MED,|MED|IST|CAN|MNL|ROR|YAP|
YAP|MHD,|MHD|IST|CAN|MNL|ROR|YAP|
YAP|MLA,|MLA|IST|CAN|MNL|ROR|YAP|
YAP|MRS,|MRS|IST|CAN|MNL|ROR|YAP|
YAP|MSQ,|MSQ|IST|CAN|MNL|ROR|YAP|
YAP|MXP,|MXP|IST|CAN|MNL|ROR|YAP|
YAP|MZH,|MZH|IST|CAN|MNL|ROR|YAP|
YAP|MZR,|MZR|IST|CAN|MNL|ROR|YAP|
YAP|NAJ,|NAJ|IST|CAN|MNL|ROR|YAP|
YAP|NAV,|NAV|IST|CAN|MNL|ROR|YAP|
YAP|NCE,|NCE|IST|CAN|MNL|ROR|YAP|
YAP|NIM,|NIM|IST|CAN|MNL|ROR|YAP|
YAP|NJF,|NJF|IST|CAN|MNL|ROR|YAP|
YAP|NSI,|NSI|IST|CAN|MNL|ROR|YAP|
YAP|NUE,|NUE|IST|CAN|MNL|ROR|YAP|
YAP|ODS,|ODS|IST|CAN|MNL|ROR|YAP|
YAP|ORN,|ORN|IST|CAN|MNL|ROR|YAP|
YAP|OTP,|OTP|IST|CAN|MNL|ROR|YAP|
YAP|PRG,|PRG|IST|CAN|MNL|ROR|YAP|
YAP|PRN,|PRN|IST|CAN|MNL|ROR|YAP|
YAP|RIX,|RIX|IST|CAN|MNL|ROR|YAP|
YAP|ROV,|ROV|IST|CAN|MNL|ROR|YAP|
YAP|RTM,|RTM|IST|CAN|MNL|ROR|YAP|
YAP|RUH,|RUH|IST|CAN|MNL|ROR|YAP|
YAP|SAH,|SAH|IST|CAN|MNL|ROR|YAP|
YAP|SJJ,|SJJ|IST|CAN|MNL|ROR|YAP|
YAP|SKG,|SKG|IST|CAN|MNL|ROR|YAP|
YAP|SKP,|SKP|IST|CAN|MNL|ROR|YAP|
YAP|SSH,|SSH|IST|CAN|MNL|ROR|YAP|
YAP|STR,|STR|IST|CAN|MNL|ROR|YAP|
YAP|SVX,|SVX|IST|CAN|MNL|ROR|YAP|
YAP|SYZ,|SYZ|IST|CAN|MNL|ROR|YAP|
YAP|SZG,|SZG|IST|CAN|MNL|ROR|YAP|
YAP|TBZ,|TBZ|IST|CAN|MNL|ROR|YAP|
YAP|TGD,|TGD|IST|CAN|MNL|ROR|YAP|
YAP|TIA,|TIA|IST|CAN|MNL|ROR|YAP|
YAP|TIF,|TIF|IST|CAN|MNL|ROR|YAP|
YAP|TIP,|TIP|IST|CAN|MNL|ROR|YAP|
YAP|TLL,|TLL|IST|CAN|MNL|ROR|YAP|
YAP|TLS,|TLS|IST|CAN|MNL|ROR|YAP|
YAP|TRN,|TRN|IST|CAN|MNL|ROR|YAP|
YAP|TUN,|TUN|IST|CAN|MNL|ROR|YAP|
YAP|TXL,|TXL|IST|CAN|MNL|ROR|YAP|
YAP|UFA,|UFA|IST|CAN|MNL|ROR|YAP|
YAP|VAS,|VAS|IST|CAN|MNL|ROR|YAP|
YAP|VCE,|VCE|IST|CAN|MNL|ROR|YAP|
YAP|YNB,|YNB|IST|CAN|MNL|ROR|YAP|
YAP|ZAG,|ZAG|IST|CAN|MNL|ROR|YAP|
YAP|MGQ,|MGQ|JIB|IST|CAN|MNL|ROR|YAP|
YAP|CPT,|CPT|JNB|IST|CAN|MNL|ROR|YAP|
YAP|MBA,|MBA|JRO|IST|CAN|MNL|ROR|YAP|
YAP|NDJ,|NDJ|KAN|IST|CAN|MNL|ROR|YAP|
YAP|CMB,|CMB|MLE|CAN|MNL|ROR|YAP|
YAP|ADE,|ADE|SAH|IST|CAN|MNL|ROR|YAP|
YAP|ASF,|ASF|SAW|TBS|URC|CAN|MNL|ROR|YAP|
YAP|STW,|STW|SAW|TBS|URC|CAN|MNL|ROR|YAP|
YAP|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|MNL|ROR|YAP|
YAP|CEC,|CEC|SFO|HNL|GUM|YAP|
YAP|SMF,|SMF|SFO|HNL|GUM|YAP|
YAP|CDR,|CDR|AIA|DEN|HNL|GUM|YAP|
YAP|FMN,|FMN|SOW|PHX|LAX|HNL|GUM|YAP|
YAP|JST,|JST|IAD|NRT|GUM|YAP|
YAP|JHW,|JHW|CLE|ORD|NRT|GUM|YAP|
YAP|SHD,|SHD|IAD|NRT|GUM|YAP|
YAP|PTY,|PTY|LAX|HNL|GUM|YAP|
YAP|FNA,|FNA|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|SXB,|SXB|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|ACV,|ACV|SFO|HNL|GUM|YAP|
YAP|MGW,|MGW|IAD|NRT|GUM|YAP|
YAP|ALB,|ALB|EWR|NRT|GUM|YAP|
YAP|AUS,|AUS|LAX|HNL|GUM|YAP|
YAP|BFD,|BFD|CLE|ORD|NRT|GUM|YAP|
YAP|BUF,|BUF|ORD|NRT|GUM|YAP|
YAP|CHS,|CHS|ATL|LAX|HNL|GUM|YAP|
YAP|DAY,|DAY|ORD|NRT|GUM|YAP|
YAP|DUJ,|DUJ|CLE|ORD|NRT|GUM|YAP|
YAP|ERI,|ERI|CLE|ORD|NRT|GUM|YAP|
YAP|FKL,|FKL|CLE|ORD|NRT|GUM|YAP|
YAP|FNT,|FNT|CLE|ORD|NRT|GUM|YAP|
YAP|GRR,|GRR|ORD|NRT|GUM|YAP|
YAP|GSP,|GSP|ORD|NRT|GUM|YAP|
YAP|PBI,|PBI|IAH|HNL|GUM|YAP|
YAP|PKB,|PKB|CLE|ORD|NRT|GUM|YAP|
YAP|RIC,|RIC|IAD|NRT|GUM|YAP|
YAP|SDF,|SDF|ORD|NRT|GUM|YAP|
YAP|GUM,|GUM|YAP|
YAP|WRL,|WRL|CYS|DEN|HNL|GUM|YAP|
YAP|LBL,|YAP|
YAP|ABQ,|ABQ|LAX|HNL|GUM|YAP|
YAP|AIA,|AIA|DEN|HNL|GUM|YAP|
YAP|ALS,|ALS|FMN|SOW|PHX|LAX|HNL|GUM|YAP|
YAP|AMA,|AMA|LAS|LAX|HNL|GUM|YAP|
YAP|ANC,|ANC|SEA|NRT|GUM|YAP|
YAP|ASE,|ASE|LAX|HNL|GUM|YAP|
YAP|BFL,|BFL|SFO|HNL|GUM|YAP|
YAP|BHM,|BHM|DAL|ABQ|LAX|HNL|GUM|YAP|
YAP|BIL,|BIL|DEN|HNL|GUM|YAP|
YAP|BIS,|BIS|DEN|HNL|GUM|YAP|
YAP|BOI,|BOI|SFO|HNL|GUM|YAP|
YAP|BUR,|BUR|SFO|HNL|GUM|YAP|
YAP|BZN,|BZN|DEN|HNL|GUM|YAP|
YAP|CID,|CID|DEN|HNL|GUM|YAP|
YAP|COD,|COD|DEN|HNL|GUM|YAP|
YAP|COS,|COS|SFO|HNL|GUM|YAP|
YAP|CPR,|CPR|DEN|HNL|GUM|YAP|
YAP|CYS,|CYS|DEN|HNL|GUM|YAP|
YAP|DIK,|DIK|DEN|HNL|GUM|YAP|
YAP|DRO,|DRO|DEN|HNL|GUM|YAP|
YAP|DSM,|DSM|DEN|HNL|GUM|YAP|
YAP|EGE,|EGE|DEN|HNL|GUM|YAP|
YAP|ELP,|ELP|LAX|HNL|GUM|YAP|
YAP|EUG,|EUG|PDX|SEA|NRT|GUM|YAP|
YAP|FAR,|FAR|DEN|HNL|GUM|YAP|
YAP|FAT,|FAT|SFO|HNL|GUM|YAP|
YAP|FCA,|FCA|DEN|HNL|GUM|YAP|
YAP|FSD,|FSD|DEN|HNL|GUM|YAP|
YAP|GCC,|GCC|DEN|HNL|GUM|YAP|
YAP|GEG,|GEG|BOI|SFO|HNL|GUM|YAP|
YAP|GJT,|GJT|DEN|HNL|GUM|YAP|
YAP|GTF,|GTF|DEN|HNL|GUM|YAP|
YAP|GUC,|GUC|DEN|HNL|GUM|YAP|
YAP|HDN,|HDN|DEN|HNL|GUM|YAP|
YAP|HLN,|HLN|DEN|HNL|GUM|YAP|
YAP|HSV,|HSV|DEN|HNL|GUM|YAP|
YAP|ICT,|ICT|LAX|HNL|GUM|YAP|
YAP|IDA,|IDA|DEN|HNL|GUM|YAP|
YAP|ISN,|ISN|DEN|HNL|GUM|YAP|
YAP|JAC,|JAC|DEN|HNL|GUM|YAP|
YAP|KOA,|KOA|SFO|HNL|GUM|YAP|
YAP|LAR,|LAR|DEN|HNL|GUM|YAP|
YAP|LBB,|LBB|LAS|LAX|HNL|GUM|YAP|
YAP|LIH,|LIH|HNL|GUM|YAP|
YAP|LIT,|LIT|PHX|LAX|HNL|GUM|YAP|
YAP|LNK,|LNK|DEN|HNL|GUM|YAP|
YAP|MAF,|MAF|LAS|LAX|HNL|GUM|YAP|
YAP|MEM,|MEM|DEN|HNL|GUM|YAP|
YAP|MFR,|MFR|SFO|HNL|GUM|YAP|
YAP|MLI,|MLI|DEN|HNL|GUM|YAP|
YAP|MOT,|MOT|DEN|HNL|GUM|YAP|
YAP|MRY,|MRY|SFO|HNL|GUM|YAP|
YAP|MSN,|MSN|ORD|NRT|GUM|YAP|
YAP|MSO,|MSO|DEN|HNL|GUM|YAP|
YAP|MTJ,|MTJ|DEN|HNL|GUM|YAP|
YAP|OKC,|OKC|LAX|HNL|GUM|YAP|
YAP|OMA,|OMA|DEN|HNL|GUM|YAP|
YAP|ONT,|ONT|SFO|HNL|GUM|YAP|
YAP|PIA,|PIA|DEN|HNL|GUM|YAP|
YAP|PIR,|PIR|DEN|HNL|GUM|YAP|
YAP|PSC,|PSC|SFO|HNL|GUM|YAP|
YAP|PSP,|PSP|LAX|HNL|GUM|YAP|
YAP|PUB,|PUB|DEN|HNL|GUM|YAP|
YAP|RAP,|RAP|DEN|HNL|GUM|YAP|
YAP|RDM,|RDM|PDX|SEA|NRT|GUM|YAP|
YAP|RKS,|RKS|DEN|HNL|GUM|YAP|
YAP|RNO,|RNO|SFO|HNL|GUM|YAP|
YAP|SAF,|SAF|DEN|HNL|GUM|YAP|
YAP|SAT,|SAT|LAX|HNL|GUM|YAP|
YAP|SBA,|SBA|LAX|HNL|GUM|YAP|
YAP|SGF,|SGF|DEN|HNL|GUM|YAP|
YAP|SGU,|SGU|DEN|HNL|GUM|YAP|
YAP|SHV,|SHV|IAH|HNL|GUM|YAP|
YAP|SJC,|SJC|LAX|HNL|GUM|YAP|
YAP|SLC,|SLC|SFO|HNL|GUM|YAP|
YAP|SNA,|SNA|SFO|HNL|GUM|YAP|
YAP|TUL,|TUL|PHX|LAX|HNL|GUM|YAP|
YAP|TUS,|TUS|LAX|HNL|GUM|YAP|
YAP|TYS,|TYS|ORD|NRT|GUM|YAP|
YAP|XNA,|XNA|DEN|HNL|GUM|YAP|
YAP|SAL,|SAL|LAX|HNL|GUM|YAP|
YAP|BJL,|BJL|DKR|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|BFS,|BFS|EWR|NRT|GUM|YAP|
YAP|BON,|BON|IAH|HNL|GUM|YAP|
YAP|BQN,|BQN|EWR|NRT|GUM|YAP|
YAP|BTV,|BTV|EWR|NRT|GUM|YAP|
YAP|BZE,|BZE|IAH|HNL|GUM|YAP|
YAP|GLA,|GLA|EWR|NRT|GUM|YAP|
YAP|GSO,|GSO|ORD|NRT|GUM|YAP|
YAP|ITH,|ITH|EWR|NRT|GUM|YAP|
YAP|JAX,|JAX|IAH|HNL|GUM|YAP|
YAP|MHT,|MHT|EWR|NRT|GUM|YAP|
YAP|MYR,|MYR|ORD|NRT|GUM|YAP|
YAP|ORF,|ORF|IAD|NRT|GUM|YAP|
YAP|POS,|POS|IAH|HNL|GUM|YAP|
YAP|PVD,|PVD|EWR|NRT|GUM|YAP|
YAP|PWM,|PWM|EWR|NRT|GUM|YAP|
YAP|SAP,|SAP|IAH|HNL|GUM|YAP|
YAP|SAV,|SAV|IAH|HNL|GUM|YAP|
YAP|SDQ,|SDQ|EWR|NRT|GUM|YAP|
YAP|SJU,|SJU|IAH|HNL|GUM|YAP|
YAP|SNN,|SNN|EWR|NRT|GUM|YAP|
YAP|STT,|STT|IAD|NRT|GUM|YAP|
YAP|SXM,|SXM|EWR|NRT|GUM|YAP|
YAP|BIM,|BIM|FLL|IAH|HNL|GUM|YAP|
YAP|ELH,|ELH|PBI|IAH|HNL|GUM|YAP|
YAP|EYW,|EYW|MSY|IAH|HNL|GUM|YAP|
YAP|FPO,|FPO|FLL|IAH|HNL|GUM|YAP|
YAP|GHB,|GHB|FLL|IAH|HNL|GUM|YAP|
YAP|MHH,|MHH|PBI|IAH|HNL|GUM|YAP|
YAP|TCB,|TCB|FLL|IAH|HNL|GUM|YAP|
YAP|SOW,|SOW|PHX|LAX|HNL|GUM|YAP|
YAP|ROB,|ROB|FNA|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|GIG,|GIG|IAH|HNL|GUM|YAP|
YAP|CNS,|CNS|GUM|YAP|
YAP|CTS,|CTS|GUM|YAP|
YAP|OKJ,|OKJ|GUM|YAP|
YAP|ROP,|ROP|GUM|YAP|
YAP|ROR,|ROR|YAP|
YAP|SDJ,|SDJ|GUM|YAP|
YAP|SPN,|SPN|GUM|YAP|
YAP|TKK,|TKK|GUM|YAP|
YAP|MAJ,|MAJ|KWA|PNI|TKK|GUM|YAP|
YAP|AOO,|AOO|IAD|NRT|GUM|YAP|
YAP|BGM,|BGM|IAD|NRT|GUM|YAP|
YAP|BKW,|BKW|IAD|NRT|GUM|YAP|
YAP|CAE,|CAE|ORD|NRT|GUM|YAP|
YAP|CHO,|CHO|IAD|NRT|GUM|YAP|
YAP|CRW,|CRW|ORD|NRT|GUM|YAP|
YAP|FAY,|FAY|IAD|NRT|GUM|YAP|
YAP|LWB,|LWB|IAD|NRT|GUM|YAP|
YAP|ROA,|ROA|ORD|NRT|GUM|YAP|
YAP|SCE,|SCE|ORD|NRT|GUM|YAP|
YAP|ACA,|ACA|IAH|HNL|GUM|YAP|
YAP|ACY,|ACY|ORD|NRT|GUM|YAP|
YAP|AEX,|AEX|IAH|HNL|GUM|YAP|
YAP|AGU,|AGU|IAH|HNL|GUM|YAP|
YAP|BJX,|BJX|LAX|HNL|GUM|YAP|
YAP|BRO,|BRO|IAH|HNL|GUM|YAP|
YAP|BTR,|BTR|IAH|HNL|GUM|YAP|
YAP|CCS,|CCS|IAH|HNL|GUM|YAP|
YAP|CLL,|CLL|IAH|HNL|GUM|YAP|
YAP|CME,|CME|IAH|HNL|GUM|YAP|
YAP|CRP,|CRP|IAH|HNL|GUM|YAP|
YAP|CUU,|CUU|IAH|HNL|GUM|YAP|
YAP|DAL,|DAL|ABQ|LAX|HNL|GUM|YAP|
YAP|DGO,|DGO|LAX|HNL|GUM|YAP|
YAP|GDL,|GDL|LAX|HNL|GUM|YAP|
YAP|GPT,|GPT|IAH|HNL|GUM|YAP|
YAP|GRK,|GRK|IAH|HNL|GUM|YAP|
YAP|HOB,|HOB|IAH|HNL|GUM|YAP|
YAP|HRL,|HRL|SAT|LAX|HNL|GUM|YAP|
YAP|HUX,|HUX|IAH|HNL|GUM|YAP|
YAP|JAN,|JAN|IAH|HNL|GUM|YAP|
YAP|LCH,|LCH|IAH|HNL|GUM|YAP|
YAP|LEX,|LEX|ORD|NRT|GUM|YAP|
YAP|LFT,|LFT|IAH|HNL|GUM|YAP|
YAP|LRD,|LRD|IAH|HNL|GUM|YAP|
YAP|MFE,|MFE|IAH|HNL|GUM|YAP|
YAP|MGA,|MGA|IAH|HNL|GUM|YAP|
YAP|MID,|MID|IAH|HNL|GUM|YAP|
YAP|MLM,|MLM|IAH|HNL|GUM|YAP|
YAP|MLU,|MLU|IAH|HNL|GUM|YAP|
YAP|MOB,|MOB|IAH|HNL|GUM|YAP|
YAP|MTY,|MTY|IAH|HNL|GUM|YAP|
YAP|OAX,|OAX|IAH|HNL|GUM|YAP|
YAP|PBC,|PBC|IAH|HNL|GUM|YAP|
YAP|PNS,|PNS|IAH|HNL|GUM|YAP|
YAP|QRO,|QRO|IAH|HNL|GUM|YAP|
YAP|RTB,|RTB|IAH|HNL|GUM|YAP|
YAP|SLP,|SLP|IAH|HNL|GUM|YAP|
YAP|SLW,|SLW|IAH|HNL|GUM|YAP|
YAP|TAM,|TAM|IAH|HNL|GUM|YAP|
YAP|TGU,|TGU|IAH|HNL|GUM|YAP|
YAP|TRC,|TRC|IAH|HNL|GUM|YAP|
YAP|TYR,|TYR|IAH|HNL|GUM|YAP|
YAP|UIO,|UIO|IAH|HNL|GUM|YAP|
YAP|VER,|VER|IAH|HNL|GUM|YAP|
YAP|VPS,|VPS|IAH|HNL|GUM|YAP|
YAP|VSA,|VSA|IAH|HNL|GUM|YAP|
YAP|ZIH,|ZIH|IAH|HNL|GUM|YAP|
YAP|ZLO,|ZLO|IAH|HNL|GUM|YAP|
YAP|KWA,|KWA|PNI|TKK|GUM|YAP|
YAP|PNI,|PNI|TKK|GUM|YAP|
YAP|KSA,|KSA|PNI|TKK|GUM|YAP|
YAP|CLD,|CLD|LAX|HNL|GUM|YAP|
YAP|ITO,|ITO|LAX|HNL|GUM|YAP|
YAP|SBP,|SBP|SFO|HNL|GUM|YAP|
YAP|SMX,|SMX|LAX|HNL|GUM|YAP|
YAP|YUM,|YUM|LAX|HNL|GUM|YAP|
YAP|DDC,|YAP|
YAP|TMS,|TMS|LIS|IST|CAN|MNL|ROR|YAP|
YAP|PHC,|PHC|LOS|IST|CAN|MNL|ROR|YAP|
YAP|GNV,|GNV|TPA|IAH|HNL|GUM|YAP|
YAP|TLH,|TLH|TPA|IAH|HNL|GUM|YAP|
YAP|CKB,|CKB|MGW|IAD|NRT|GUM|YAP|
YAP|BAQ,|BAQ|MIA|IAH|HNL|GUM|YAP|
YAP|CLO,|CLO|MIA|IAH|HNL|GUM|YAP|
YAP|CTG,|CTG|MIA|IAH|HNL|GUM|YAP|
YAP|MDE,|MDE|MIA|IAH|HNL|GUM|YAP|
YAP|ABE,|ABE|ORD|NRT|GUM|YAP|
YAP|ATW,|ATW|ORD|NRT|GUM|YAP|
YAP|AVL,|AVL|ORD|NRT|GUM|YAP|
YAP|AVP,|AVP|ORD|NRT|GUM|YAP|
YAP|CAK,|CAK|ORD|NRT|GUM|YAP|
YAP|CMX,|CMX|ORD|NRT|GUM|YAP|
YAP|CWA,|CWA|ORD|NRT|GUM|YAP|
YAP|DLH,|DLH|ORD|NRT|GUM|YAP|
YAP|EAU,|EAU|ORD|NRT|GUM|YAP|
YAP|ELM,|ELM|ORD|NRT|GUM|YAP|
YAP|FOE,|FOE|ORD|NRT|GUM|YAP|
YAP|FWA,|FWA|ORD|NRT|GUM|YAP|
YAP|GRB,|GRB|ORD|NRT|GUM|YAP|
YAP|HPN,|HPN|ORD|NRT|GUM|YAP|
YAP|LAN,|LAN|ORD|NRT|GUM|YAP|
YAP|MBS,|MBS|ORD|NRT|GUM|YAP|
YAP|MKG,|MKG|ORD|NRT|GUM|YAP|
YAP|PAH,|PAH|ORD|NRT|GUM|YAP|
YAP|SBN,|SBN|ORD|NRT|GUM|YAP|
YAP|SPI,|SPI|ORD|NRT|GUM|YAP|
YAP|SRQ,|SRQ|ORD|NRT|GUM|YAP|
YAP|STC,|STC|ORD|NRT|GUM|YAP|
YAP|TVC,|TVC|ORD|NRT|GUM|YAP|
YAP|LMT,|LMT|SFO|HNL|GUM|YAP|
YAP|HON,|HON|PIR|DEN|HNL|GUM|YAP|
YAP|CIC,|CIC|SFO|HNL|GUM|YAP|
YAP|MOD,|MOD|SFO|HNL|GUM|YAP|
YAP|OTH,|OTH|SFO|HNL|GUM|YAP|
YAP|RDD,|RDD|SFO|HNL|GUM|YAP|
YAP|EIS,|EIS|SJU|IAH|HNL|GUM|YAP|
YAP|DME,|DME|VIE|IST|CAN|MNL|ROR|YAP|
YAP|EVN,|EVN|VIE|IST|CAN|MNL|ROR|YAP|
YAP|HOU,|HOU|LAX|HNL|GUM|YAP|
YAP|MDW,|MDW|SFO|HNL|GUM|YAP|
YAP|OAK,|OAK|LAX|HNL|GUM|YAP|
YAP|ECP,|ECP|HOU|LAX|HNL|GUM|YAP|
YAP|ISP,|ISP|BWI|YYZ|NRT|GUM|YAP|
YAP|YHM,|YHM|YYC|NRT|GUM|YAP|
YAP|YXX,|YXX|YYC|NRT|GUM|YAP|
YAP|YBR,|YBR|YYC|NRT|GUM|YAP|
YAP|YKF,|YKF|YYC|NRT|GUM|YAP|
YAP|GDN,|YAP|
YAP|TRD,|YAP|
YAP|NKC,|YAP|
YAP|PGA,|YAP|
