YNT|BRU,|BRU|IST|PEK|SHE|YNT|
YNT|OUA,|OUA|NIM|IST|PEK|SHE|YNT|
YNT|JED,|JED|IST|PEK|SHE|YNT|
YNT|CPH,|CPH|AMS|PEK|SHE|YNT|
YNT|YYZ,|YYZ|PEK|SHE|YNT|
YNT|DEN,|DEN|YVR|ICN|SHE|YNT|
YNT|YUL,|YUL|YYZ|PEK|SHE|YNT|
YNT|NBO,|NBO|CAN|YNT|
YNT|ICN,|ICN|SHE|YNT|
YNT|NRT,|NRT|SHE|YNT|
YNT|YHZ,|YHZ|YYZ|PEK|SHE|YNT|
YNT|YOW,|YOW|YYZ|PEK|SHE|YNT|
YNT|BJM,|BJM|BRU|IST|PEK|SHE|YNT|
YNT|COO,|COO|BRU|IST|PEK|SHE|YNT|
YNT|DKR,|DKR|BRU|IST|PEK|SHE|YNT|
YNT|DLA,|DLA|IST|PEK|SHE|YNT|
YNT|KGL,|KGL|IST|PEK|SHE|YNT|
YNT|LAD,|LAD|BRU|IST|PEK|SHE|YNT|
YNT|ABJ,|ABJ|OUA|NIM|IST|PEK|SHE|YNT|
YNT|AMS,|AMS|PEK|SHE|YNT|
YNT|OSL,|OSL|CPH|AMS|PEK|SHE|YNT|
YNT|VNO,|VNO|IST|PEK|SHE|YNT|
YNT|WAW,|WAW|IST|PEK|SHE|YNT|
YNT|YYC,|YYC|YVR|ICN|SHE|YNT|
YNT|ATL,|ATL|ORD|PEK|SHE|YNT|
YNT|MSY,|MSY|DEN|YVR|ICN|SHE|YNT|
YNT|YEG,|YEG|YVR|ICN|SHE|YNT|
YNT|YMM,|YMM|YVR|ICN|SHE|YNT|
YNT|YQR,|YQR|YVR|ICN|SHE|YNT|
YNT|YVR,|YVR|ICN|SHE|YNT|
YNT|YWG,|YWG|YVR|ICN|SHE|YNT|
YNT|YXE,|YXE|YVR|ICN|SHE|YNT|
YNT|CKY,|CKY|DKR|BRU|IST|PEK|SHE|YNT|
YNT|FIH,|FIH|IST|PEK|SHE|YNT|
YNT|SCL,|SCL|YYZ|PEK|SHE|YNT|
YNT|LCA,|LCA|FRA|TSE|URC|HET|SHE|YNT|
YNT|NAP,|NAP|IST|PEK|SHE|YNT|
YNT|VLC,|VLC|FRA|TSE|URC|HET|SHE|YNT|
YNT|BKK,|BKK|CSX|YNT|
YNT|ADD,|ADD|IST|PEK|SHE|YNT|
YNT|FRA,|FRA|TSE|URC|HET|SHE|YNT|
YNT|IST,|IST|PEK|SHE|YNT|
YNT|EBB,|EBB|KGL|IST|PEK|SHE|YNT|
YNT|YLW,|YLW|YVR|ICN|SHE|YNT|
YNT|YYT,|YYT|YYZ|PEK|SHE|YNT|
YNT|GUA,|GUA|IAH|YVR|ICN|SHE|YNT|
YNT|EWR,|EWR|PEK|SHE|YNT|
YNT|IAD,|IAD|PEK|SHE|YNT|
YNT|IAH,|IAH|YVR|ICN|SHE|YNT|
YNT|ORD,|ORD|PEK|SHE|YNT|
YNT|SOF,|SOF|IST|PEK|SHE|YNT|
YNT|YQB,|YQB|YYZ|PEK|SHE|YNT|
YNT|YXU,|YXU|YYZ|PEK|SHE|YNT|
YNT|EZE,|EZE|GRU|IST|PEK|SHE|YNT|
YNT|YYJ,|YYJ|YVR|ICN|SHE|YNT|
YNT|YYY,|YYY|YUL|YYZ|PEK|SHE|YNT|
YNT|YQQ,|YQQ|YBL|YVR|ICN|SHE|YNT|
YNT|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|SHE|YNT|
YNT|LHR,|LHR|IST|PEK|SHE|YNT|
YNT|SFO,|SFO|ICN|SHE|YNT|
YNT|YQU,|YQU|YEG|YVR|ICN|SHE|YNT|
YNT|YZF,|YZF|YEG|YVR|ICN|SHE|YNT|
YNT|YGR,|YGR|YGP|YQB|YYZ|PEK|SHE|YNT|
YNT|YGP,|YGP|YQB|YYZ|PEK|SHE|YNT|
YNT|BOS,|BOS|YYZ|PEK|SHE|YNT|
YNT|YDF,|YDF|YYZ|PEK|SHE|YNT|
YNT|YFC,|YFC|YYZ|PEK|SHE|YNT|
YNT|YQM,|YQM|YYZ|PEK|SHE|YNT|
YNT|YQX,|YQX|YHZ|YYZ|PEK|SHE|YNT|
YNT|YQY,|YQY|YYZ|PEK|SHE|YNT|
YNT|YSJ,|YSJ|YYZ|PEK|SHE|YNT|
YNT|YYG,|YYG|YYZ|PEK|SHE|YNT|
YNT|LAX,|LAX|ICN|SHE|YNT|
YNT|DCA,|DCA|YYZ|PEK|SHE|YNT|
YNT|LGA,|LGA|YYZ|PEK|SHE|YNT|
YNT|YZV,|YZV|YQB|YYZ|PEK|SHE|YNT|
YNT|YWL,|YWL|YVR|ICN|SHE|YNT|
YNT|AZS,|AZS|YYZ|PEK|SHE|YNT|
YNT|BDL,|BDL|YYZ|PEK|SHE|YNT|
YNT|CCC,|CCC|YYZ|PEK|SHE|YNT|
YNT|CDG,|CDG|IST|PEK|SHE|YNT|
YNT|CUN,|CUN|YVR|ICN|SHE|YNT|
YNT|CZM,|CZM|IAH|YVR|ICN|SHE|YNT|
YNT|FDF,|FDF|YUL|YYZ|PEK|SHE|YNT|
YNT|FLL,|FLL|ORD|PEK|SHE|YNT|
YNT|GVA,|GVA|IST|PEK|SHE|YNT|
YNT|HOG,|HOG|YYZ|PEK|SHE|YNT|
YNT|LAS,|LAS|SFO|ICN|SHE|YNT|
YNT|MBJ,|MBJ|ATL|ORD|PEK|SHE|YNT|
YNT|MCO,|MCO|ORD|PEK|SHE|YNT|
YNT|MUC,|MUC|IST|PEK|SHE|YNT|
YNT|PAP,|PAP|YUL|YYZ|PEK|SHE|YNT|
YNT|PTP,|PTP|YUL|YYZ|PEK|SHE|YNT|
YNT|PUJ,|PUJ|EWR|PEK|SHE|YNT|
YNT|SNU,|SNU|YYZ|PEK|SHE|YNT|
YNT|VRA,|VRA|YYZ|PEK|SHE|YNT|
YNT|YBC,|YBC|YUL|YYZ|PEK|SHE|YNT|
YNT|YBG,|YBG|YUL|YYZ|PEK|SHE|YNT|
YNT|YTZ,|YTZ|YUL|YYZ|PEK|SHE|YNT|
YNT|YUY,|YUY|YUL|YYZ|PEK|SHE|YNT|
YNT|YVO,|YVO|YUL|YYZ|PEK|SHE|YNT|
YNT|ZBF,|ZBF|YUL|YYZ|PEK|SHE|YNT|
YNT|ZRH,|ZRH|IST|PEK|SHE|YNT|
YNT|ZSA,|ZSA|YUL|YYZ|PEK|SHE|YNT|
YNT|AKL,|AKL|CAN|YNT|
YNT|HKG,|HKG|CAN|YNT|
YNT|HND,|HND|HNL|NRT|SHE|YNT|
YNT|HNL,|HNL|NRT|SHE|YNT|
YNT|MEX,|MEX|SFO|ICN|SHE|YNT|
YNT|OGG,|OGG|HNL|NRT|SHE|YNT|
YNT|PDX,|PDX|SEA|ICN|SHE|YNT|
YNT|PEK,|PEK|SHE|YNT|
YNT|PVG,|PVG|SHE|YNT|
YNT|PVR,|PVR|LAX|ICN|SHE|YNT|
YNT|SEA,|SEA|ICN|SHE|YNT|
YNT|SYD,|SYD|CAN|YNT|
YNT|YBL,|YBL|YVR|ICN|SHE|YNT|
YNT|YCD,|YCD|YVR|ICN|SHE|YNT|
YNT|YCG,|YCG|YVR|ICN|SHE|YNT|
YNT|YKA,|YKA|YVR|ICN|SHE|YNT|
YNT|YPR,|YPR|YVR|ICN|SHE|YNT|
YNT|YQZ,|YQZ|YVR|ICN|SHE|YNT|
YNT|YXC,|YXC|YVR|ICN|SHE|YNT|
YNT|YXJ,|YXJ|YVR|ICN|SHE|YNT|
YNT|YXS,|YXS|YVR|ICN|SHE|YNT|
YNT|YXT,|YXT|YVR|ICN|SHE|YNT|
YNT|YXY,|YXY|YVR|ICN|SHE|YNT|
YNT|YYD,|YYD|YVR|ICN|SHE|YNT|
YNT|YYF,|YYF|YVR|ICN|SHE|YNT|
YNT|YZP,|YZP|YVR|ICN|SHE|YNT|
YNT|YQT,|YQT|YWG|YVR|ICN|SHE|YNT|
YNT|SJD,|SJD|LAX|ICN|SHE|YNT|
YNT|YQF,|YQF|YYC|YVR|ICN|SHE|YNT|
YNT|YQL,|YQL|YYC|YVR|ICN|SHE|YNT|
YNT|YXH,|YXH|YYC|YVR|ICN|SHE|YNT|
YNT|YWK,|YWK|YZV|YQB|YYZ|PEK|SHE|YNT|
YNT|ANU,|ANU|EWR|PEK|SHE|YNT|
YNT|AUA,|AUA|EWR|PEK|SHE|YNT|
YNT|AUH,|AUH|IST|PEK|SHE|YNT|
YNT|BCN,|BCN|IST|PEK|SHE|YNT|
YNT|BDA,|BDA|EWR|PEK|SHE|YNT|
YNT|BGI,|BGI|YYZ|PEK|SHE|YNT|
YNT|BNA,|BNA|ORD|PEK|SHE|YNT|
YNT|BOG,|BOG|IAH|YVR|ICN|SHE|YNT|
YNT|BWI,|BWI|YYZ|PEK|SHE|YNT|
YNT|CLE,|CLE|YYZ|PEK|SHE|YNT|
YNT|CLT,|CLT|YYZ|PEK|SHE|YNT|
YNT|CMH,|CMH|ORD|PEK|SHE|YNT|
YNT|CVG,|CVG|ORD|PEK|SHE|YNT|
YNT|DFW,|DFW|YVR|ICN|SHE|YNT|
YNT|DTW,|DTW|PEK|SHE|YNT|
YNT|DUB,|DUB|IST|PEK|SHE|YNT|
YNT|FCO,|FCO|IST|PEK|SHE|YNT|
YNT|GCM,|GCM|IAH|YVR|ICN|SHE|YNT|
YNT|GGT,|GGT|YYZ|PEK|SHE|YNT|
YNT|GND,|GND|YYZ|PEK|SHE|YNT|
YNT|GRU,|GRU|IST|PEK|SHE|YNT|
YNT|HAV,|HAV|YYZ|PEK|SHE|YNT|
YNT|IND,|IND|ORD|PEK|SHE|YNT|
YNT|JFK,|JFK|PEK|SHE|YNT|
YNT|KIN,|KIN|YYZ|PEK|SHE|YNT|
YNT|LIM,|LIM|IAH|YVR|ICN|SHE|YNT|
YNT|LIR,|LIR|IAH|YVR|ICN|SHE|YNT|
YNT|MCI,|MCI|DEN|YVR|ICN|SHE|YNT|
YNT|MDT,|MDT|YYZ|PEK|SHE|YNT|
YNT|MIA,|MIA|ORD|PEK|SHE|YNT|
YNT|MKE,|MKE|ORD|PEK|SHE|YNT|
YNT|MSP,|MSP|DEN|YVR|ICN|SHE|YNT|
YNT|NAS,|NAS|YYZ|PEK|SHE|YNT|
YNT|PHL,|PHL|YYZ|PEK|SHE|YNT|
YNT|PHX,|PHX|SFO|ICN|SHE|YNT|
YNT|PIT,|PIT|YYZ|PEK|SHE|YNT|
YNT|PLS,|PLS|EWR|PEK|SHE|YNT|
YNT|POP,|POP|EWR|PEK|SHE|YNT|
YNT|RDU,|RDU|YYZ|PEK|SHE|YNT|
YNT|ROC,|ROC|YYZ|PEK|SHE|YNT|
YNT|RSW,|RSW|ORD|PEK|SHE|YNT|
YNT|SAN,|SAN|LAX|ICN|SHE|YNT|
YNT|SJO,|SJO|IAH|YVR|ICN|SHE|YNT|
YNT|STL,|STL|ORD|PEK|SHE|YNT|
YNT|SYR,|SYR|YYZ|PEK|SHE|YNT|
YNT|TLV,|TLV|IST|PEK|SHE|YNT|
YNT|TPA,|TPA|ORD|PEK|SHE|YNT|
YNT|UVF,|UVF|EWR|PEK|SHE|YNT|
YNT|VIE,|VIE|IST|PEK|SHE|YNT|
YNT|YAM,|YAM|YYZ|PEK|SHE|YNT|
YNT|YGK,|YGK|YYZ|PEK|SHE|YNT|
YNT|YQG,|YQG|YYZ|PEK|SHE|YNT|
YNT|YSB,|YSB|YYZ|PEK|SHE|YNT|
YNT|YTS,|YTS|YYZ|PEK|SHE|YNT|
YNT|YYB,|YYB|YYZ|PEK|SHE|YNT|
YNT|YZR,|YZR|YYZ|PEK|SHE|YNT|
YNT|CAN,|CAN|YNT|
YNT|URC,|URC|HET|SHE|YNT|
YNT|CTU,|CTU|YNT|
YNT|HGH,|HGH|SHE|YNT|
YNT|XMN,|XMN|CSX|YNT|
YNT|CGO,|CGO|SHE|YNT|
YNT|CSX,|CSX|YNT|
YNT|SHE,|SHE|YNT|
YNT|SJW,|SJW|SHE|YNT|
YNT|WUH,|WUH|SHE|YNT|
YNT|SZX,|SZX|CSX|YNT|
YNT|CKG,|CKG|CSX|YNT|
YNT|KMG,|KMG|CSX|YNT|
YNT|FOC,|FOC|CSX|YNT|
YNT|NNG,|NNG|CSX|YNT|
YNT|SWA,|SWA|CSX|YNT|
YNT|ACX,|ACX|CAN|YNT|
YNT|AQG,|AQG|CAN|YNT|
YNT|AVA,|AVA|CAN|YNT|
YNT|BFJ,|BFJ|CAN|YNT|
YNT|BHY,|BHY|CSX|YNT|
YNT|BNE,|BNE|CAN|YNT|
YNT|CGD,|CGD|CAN|YNT|
YNT|CGK,|CGK|CAN|YNT|
YNT|CGQ,|CGQ|ICN|SHE|YNT|
YNT|CIH,|CIH|PEK|SHE|YNT|
YNT|CNX,|CNX|CAN|YNT|
YNT|CZX,|CZX|SHE|YNT|
YNT|DAC,|DAC|CAN|YNT|
YNT|DAD,|DAD|CAN|YNT|
YNT|DEL,|DEL|CAN|YNT|
YNT|DIG,|DIG|KMG|CSX|YNT|
YNT|DLC,|DLC|TAO|SHE|YNT|
YNT|DPS,|DPS|CAN|YNT|
YNT|DXB,|DXB|CAN|YNT|
YNT|DYG,|DYG|CSX|YNT|
YNT|FUG,|FUG|CAN|YNT|
YNT|FUK,|FUK|SHE|YNT|
YNT|HAK,|HAK|CAN|YNT|
YNT|HAN,|HAN|CAN|YNT|
YNT|HDG,|HDG|CAN|YNT|
YNT|HET,|HET|SHE|YNT|
YNT|HFE,|HFE|CSX|YNT|
YNT|HJJ,|HJJ|CSX|YNT|
YNT|HKT,|HKT|CAN|YNT|
YNT|HRB,|HRB|YNT|
YNT|HZH,|HZH|CAN|YNT|
YNT|JIU,|JIU|CAN|YNT|
YNT|JJN,|JJN|CSX|YNT|
YNT|JNG,|JNG|CAN|YNT|
YNT|KHN,|KHN|NKG|SHE|YNT|
YNT|KIX,|KIX|SHE|YNT|
YNT|KOW,|KOW|CAN|YNT|
YNT|KTM,|KTM|CAN|YNT|
YNT|KUL,|KUL|CAN|YNT|
YNT|KWE,|KWE|CSX|YNT|
YNT|KWL,|KWL|CAN|YNT|
YNT|LHW,|LHW|SHE|YNT|
YNT|LYA,|LYA|KHN|NKG|SHE|YNT|
YNT|LYG,|LYG|HSN|PEK|SHE|YNT|
YNT|LZH,|LZH|CAN|YNT|
YNT|MEL,|MEL|CAN|YNT|
YNT|MIG,|MIG|CSX|YNT|
YNT|MLE,|MLE|CAN|YNT|
YNT|MNL,|MNL|CAN|YNT|
YNT|MXZ,|MXZ|CAN|YNT|
YNT|NAO,|NAO|PEK|SHE|YNT|
YNT|NGB,|NGB|TAO|SHE|YNT|
YNT|NKG,|NKG|SHE|YNT|
YNT|NNY,|NNY|CGO|SHE|YNT|
YNT|PEN,|PEN|CAN|YNT|
YNT|PER,|PER|CAN|YNT|
YNT|PNH,|PNH|CAN|YNT|
YNT|REP,|REP|CAN|YNT|
YNT|RGN,|RGN|CAN|YNT|
YNT|SGN,|SGN|CAN|YNT|
YNT|SHA,|SHA|CSX|YNT|
YNT|SIN,|SIN|CAN|YNT|
YNT|SVO,|SVO|URC|HET|SHE|YNT|
YNT|SYX,|SYX|CAN|YNT|
YNT|TAO,|TAO|SHE|YNT|
YNT|TEN,|TEN|CAN|YNT|
YNT|TNA,|TNA|SHE|YNT|
YNT|TPE,|TPE|CSX|YNT|
YNT|TSN,|TSN|DLC|TAO|SHE|YNT|
YNT|TXN,|TXN|CSX|YNT|
YNT|TYN,|TYN|SHE|YNT|
YNT|WNZ,|WNZ|CSX|YNT|
YNT|WUX,|WUX|CAN|YNT|
YNT|XFN,|XFN|CAN|YNT|
YNT|XIY,|XIY|SHE|YNT|
YNT|XUZ,|XUZ|CAN|YNT|
YNT|YIH,|YIH|CKG|CSX|YNT|
YNT|YIW,|YIW|SHE|YNT|
YNT|YNZ,|YNZ|SHE|YNT|
YNT|YTY,|YTY|CSX|YNT|
YNT|ZHA,|ZHA|CAN|YNT|
YNT|ZYI,|ZYI|CAN|YNT|
YNT|BAV,|BAV|SHE|YNT|
YNT|CJU,|CJU|SHE|YNT|
YNT|DSN,|DSN|CGO|SHE|YNT|
YNT|HMI,|HMI|CGO|SHE|YNT|
YNT|INC,|INC|PEK|SHE|YNT|
YNT|KHH,|KHH|WUH|SHE|YNT|
YNT|UYN,|UYN|CGO|SHE|YNT|
YNT|XNN,|XNN|PEK|SHE|YNT|
YNT|ZUH,|ZUH|CSX|YNT|
YNT|YNJ,|YNJ|ICN|SHE|YNT|
YNT|DAT,|DAT|TYN|SHE|YNT|
YNT|JHG,|JHG|KMG|CSX|YNT|
YNT|LJG,|LJG|KWE|CSX|YNT|
YNT|LXA,|LXA|CKG|CSX|YNT|
YNT|YCU,|YCU|CSX|YNT|
YNT|LZO,|LZO|CSX|YNT|
YNT|MDG,|MDG|ICN|SHE|YNT|
YNT|NGO,|NGO|SHE|YNT|
YNT|TOY,|TOY|DLC|TAO|SHE|YNT|
YNT|MFM,|MFM|XMN|CSX|YNT|
YNT|TGO,|TGO|HET|SHE|YNT|
YNT|XIL,|XIL|HET|SHE|YNT|
YNT|HEK,|HEK|HRB|YNT|
YNT|KIJ,|KIJ|HRB|YNT|
YNT|LDS,|LDS|HRB|YNT|
YNT|OHE,|OHE|HRB|YNT|
YNT|HSN,|HSN|PEK|SHE|YNT|
YNT|DLU,|DLU|KWE|CSX|YNT|
YNT|SYM,|SYM|KMG|CSX|YNT|
YNT|ZAT,|ZAT|KMG|CSX|YNT|
YNT|LUN,|LUN|NBO|CAN|YNT|
YNT|AOG,|AOG|PEK|SHE|YNT|
YNT|GMP,|GMP|PEK|SHE|YNT|
YNT|ISB,|ISB|PEK|SHE|YNT|
YNT|TAS,|TAS|URC|HET|SHE|YNT|
YNT|WUS,|WUS|PEK|SHE|YNT|
YNT|JMU,|JMU|PVG|SHE|YNT|
YNT|NDG,|NDG|PVG|SHE|YNT|
YNT|JXA,|JXA|SHE|YNT|
YNT|PUS,|PUS|SHE|YNT|
YNT|BKI,|BKI|SZX|CSX|YNT|
YNT|AKU,|AKU|URC|HET|SHE|YNT|
YNT|ALA,|ALA|URC|HET|SHE|YNT|
YNT|ASB,|ASB|URC|HET|SHE|YNT|
YNT|DNH,|DNH|XIY|SHE|YNT|
YNT|DYU,|DYU|URC|HET|SHE|YNT|
YNT|FRU,|FRU|URC|HET|SHE|YNT|
YNT|GYD,|GYD|URC|HET|SHE|YNT|
YNT|HTN,|HTN|URC|HET|SHE|YNT|
YNT|IKA,|IKA|URC|HET|SHE|YNT|
YNT|KCA,|KCA|URC|HET|SHE|YNT|
YNT|KHG,|KHG|URC|HET|SHE|YNT|
YNT|KRL,|KRL|URC|HET|SHE|YNT|
YNT|KRY,|KRY|URC|HET|SHE|YNT|
YNT|LBD,|LBD|URC|HET|SHE|YNT|
YNT|NLT,|NLT|URC|HET|SHE|YNT|
YNT|OSS,|OSS|URC|HET|SHE|YNT|
YNT|OVB,|OVB|URC|HET|SHE|YNT|
YNT|TBS,|TBS|URC|HET|SHE|YNT|
YNT|TCG,|TCG|URC|HET|SHE|YNT|
YNT|TSE,|TSE|URC|HET|SHE|YNT|
YNT|YIN,|YIN|URC|HET|SHE|YNT|
YNT|ENH,|ENH|WUH|SHE|YNT|
YNT|ENY,|ENY|XIY|SHE|YNT|
YNT|WXN,|WXN|XIY|SHE|YNT|
YNT|BLL,|BLL|IST|PEK|SHE|YNT|
YNT|ESB,|ESB|IST|PEK|SHE|YNT|
YNT|SAW,|SAW|TBS|URC|HET|SHE|YNT|
YNT|HAM,|HAM|IST|PEK|SHE|YNT|
YNT|HRE,|HRE|ADD|IST|PEK|SHE|YNT|
YNT|JUB,|JUB|CAI|IST|PEK|SHE|YNT|
YNT|SSG,|SSG|DLA|IST|PEK|SHE|YNT|
YNT|BGW,|BGW|IST|PEK|SHE|YNT|
YNT|EBL,|EBL|IST|PEK|SHE|YNT|
YNT|VKO,|VKO|IST|PEK|SHE|YNT|
YNT|MCT,|MCT|IST|PEK|SHE|YNT|
YNT|AYT,|AYT|IST|PEK|SHE|YNT|
YNT|SCQ,|SCQ|BIO|IST|PEK|SHE|YNT|
YNT|AAL,|AAL|IST|PEK|SHE|YNT|
YNT|AOE,|AOE|BRU|IST|PEK|SHE|YNT|
YNT|JNB,|JNB|IST|PEK|SHE|YNT|
YNT|LBV,|LBV|DLA|IST|PEK|SHE|YNT|
YNT|ADA,|ADA|IST|PEK|SHE|YNT|
YNT|ADB,|ADB|IST|PEK|SHE|YNT|
YNT|ADF,|ADF|IST|PEK|SHE|YNT|
YNT|AJI,|AJI|IST|PEK|SHE|YNT|
YNT|BAL,|BAL|IST|PEK|SHE|YNT|
YNT|BJV,|BJV|IST|PEK|SHE|YNT|
YNT|CKZ,|CKZ|ESB|IST|PEK|SHE|YNT|
YNT|DIY,|DIY|IST|PEK|SHE|YNT|
YNT|ECN,|ECN|IST|PEK|SHE|YNT|
YNT|ERC,|ERC|IST|PEK|SHE|YNT|
YNT|ERZ,|ERZ|IST|PEK|SHE|YNT|
YNT|EZS,|EZS|IST|PEK|SHE|YNT|
YNT|GNY,|GNY|IST|PEK|SHE|YNT|
YNT|GZP,|GZP|ESB|IST|PEK|SHE|YNT|
YNT|GZT,|GZT|IST|PEK|SHE|YNT|
YNT|HTY,|HTY|IST|PEK|SHE|YNT|
YNT|KCM,|KCM|IST|PEK|SHE|YNT|
YNT|KSY,|KSY|IST|PEK|SHE|YNT|
YNT|MLX,|MLX|IST|PEK|SHE|YNT|
YNT|MQM,|MQM|IST|PEK|SHE|YNT|
YNT|MSR,|MSR|IST|PEK|SHE|YNT|
YNT|TEQ,|TEQ|ESB|IST|PEK|SHE|YNT|
YNT|TZX,|TZX|IST|PEK|SHE|YNT|
YNT|VAN,|VAN|IST|PEK|SHE|YNT|
YNT|ULN,|ULN|FRU|URC|HET|SHE|YNT|
YNT|HIJ,|HIJ|ICN|SHE|YNT|
YNT|VVO,|VVO|ICN|SHE|YNT|
YNT|ACC,|ACC|IST|PEK|SHE|YNT|
YNT|AER,|AER|IST|PEK|SHE|YNT|
YNT|AGP,|AGP|IST|PEK|SHE|YNT|
YNT|ALG,|ALG|IST|PEK|SHE|YNT|
YNT|AMM,|AMM|IST|PEK|SHE|YNT|
YNT|AQJ,|AQJ|IST|PEK|SHE|YNT|
YNT|ARN,|ARN|IST|PEK|SHE|YNT|
YNT|ASR,|ASR|IST|PEK|SHE|YNT|
YNT|ATH,|ATH|IST|PEK|SHE|YNT|
YNT|BAH,|BAH|IST|PEK|SHE|YNT|
YNT|BEG,|BEG|IST|PEK|SHE|YNT|
YNT|BEN,|BEN|IST|PEK|SHE|YNT|
YNT|BEY,|BEY|IST|PEK|SHE|YNT|
YNT|BHX,|BHX|IST|PEK|SHE|YNT|
YNT|BIO,|BIO|IST|PEK|SHE|YNT|
YNT|BLQ,|BLQ|IST|PEK|SHE|YNT|
YNT|BOM,|BOM|IST|PEK|SHE|YNT|
YNT|BRE,|BRE|IST|PEK|SHE|YNT|
YNT|BSL,|BSL|IST|PEK|SHE|YNT|
YNT|BSR,|BSR|IST|PEK|SHE|YNT|
YNT|BUD,|BUD|IST|PEK|SHE|YNT|
YNT|BUS,|BUS|IST|PEK|SHE|YNT|
YNT|CAI,|CAI|IST|PEK|SHE|YNT|
YNT|CGN,|CGN|IST|PEK|SHE|YNT|
YNT|CMN,|CMN|IST|PEK|SHE|YNT|
YNT|CND,|CND|IST|PEK|SHE|YNT|
